phase,timestamp_iso,epoch_ms,orderId,intendedPrice,execPrice,requestedSize,filledSize,slippage,brokerMsg
REQUEST,2025-08-15T06:33:24.1829372Z,1755239604182,ORD-0,100,,1,,,
ACK,2025-08-15T06:33:24.1833835Z,1755239604183,ORD-0,100,,1,,,
FILL,2025-08-15T06:33:24.1835477Z,1755239604183,ORD-0,100,100.0005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:33:24.4237392Z,1755239604423,ORD-15,100.15,,1,,,
ACK,2025-08-15T06:33:24.4243573Z,1755239604424,ORD-15,100.15,,1,,,
REQUEST,2025-08-15T06:33:24.6564562Z,1755239604656,ORD-30,100.3,,1,,,
ACK,2025-08-15T06:33:24.6569807Z,1755239604656,ORD-30,100.3,,1,,,
FILL,2025-08-15T06:33:24.6572139Z,1755239604657,ORD-30,100.3,100.3005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:33:24.9061215Z,1755239604906,ORD-45,100.45,,1,,,
ACK,2025-08-15T06:33:24.9116242Z,1755239604911,ORD-45,100.45,,1,,,
REQUEST,2025-08-15T06:33:25.1569102Z,1755239605156,ORD-60,100.6,,1,,,
ACK,2025-08-15T06:33:25.1573370Z,1755239605157,ORD-60,100.6,,1,,,
FILL,2025-08-15T06:33:25.1574903Z,1755239605157,ORD-60,100.6,100.6005,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:33:25.4079624Z,1755239605407,ORD-75,100.75,,1,,,
ACK,2025-08-15T06:33:25.4085416Z,1755239605408,ORD-75,100.75,,1,,,
REQUEST,2025-08-15T06:33:25.6413071Z,1755239605641,ORD-90,100.9,,1,,,
ACK,2025-08-15T06:33:25.6419910Z,1755239605641,ORD-90,100.9,,1,,,
FILL,2025-08-15T06:33:25.6422713Z,1755239605642,ORD-90,100.9,100.90050000000001,1,1,0.0005000000000023874,
REQUEST,2025-08-15T06:33:25.8915156Z,1755239605891,ORD-105,101.05,,1,,,
ACK,2025-08-15T06:33:25.8921408Z,1755239605892,ORD-105,101.05,,1,,,
