phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host
REQUEST,2025-08-23T11:44:00.1873434Z,1755949440187,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,REQUEST,,,100,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:00.1893538Z,1755949440189,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,ACK,,2,100,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:00.1900417Z,1755949440190,ORD-0,100,99.95,100.0005,,,1,1,0.0005000000000023874,filled,ORD-0,Buy,BUY,Market,FILL,filled,3,100,100.0005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:00.4407738Z,1755949440440,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,REQUEST,,,100.15,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:00.4411894Z,1755949440441,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,ACK,,1,100.15,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:00.4413579Z,1755949440441,ORD-15,100.15,,100.1495,,,1,1,-0.0005000000000023874,filled,ORD-15,Sell,SELL,Market,FILL,filled,1,100.15,100.1495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:00.6904511Z,1755949440690,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,REQUEST,,,100.3,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:00.6907574Z,1755949440690,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,ACK,,0,100.3,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:00.6908905Z,1755949440690,ORD-30,100.3,100.25,100.3005,,,1,1,0.0005000000000023874,filled,ORD-30,Buy,BUY,Market,FILL,filled,0,100.3,100.3005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:00.9410109Z,1755949440941,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,REQUEST,,,100.45,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:00.9455335Z,1755949440945,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,ACK,,4,100.45,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:00.9458854Z,1755949440945,ORD-45,100.45,,100.4495,,,1,1,-0.0005000000000023874,filled,ORD-45,Sell,SELL,Market,FILL,filled,4,100.45,100.4495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:01.1910313Z,1755949441191,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,REQUEST,,,100.6,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:01.1914674Z,1755949441191,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,ACK,,0,100.6,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:01.1917124Z,1755949441191,ORD-60,100.6,100.55,100.6005,,,1,1,0.0005000000000023874,filled,ORD-60,Buy,BUY,Market,FILL,filled,0,100.6,100.6005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:01.4656916Z,1755949441465,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,REQUEST,,,100.75,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:01.4661449Z,1755949441466,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,ACK,,1,100.75,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:01.4697921Z,1755949441469,ORD-75,100.75,,100.7495,,,1,1,-0.0005000000000023874,filled,ORD-75,Sell,SELL,Market,FILL,filled,4,100.75,100.7495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:01.8137520Z,1755949441813,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,REQUEST,,,100.9,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:01.8141692Z,1755949441814,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,ACK,,1,100.9,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:01.8143820Z,1755949441814,ORD-90,100.9,100.85000000000001,100.90050000000001,,,1,1,0.0005000000000023874,filled,ORD-90,Buy,BUY,Market,FILL,filled,1,100.9,100.90050000000001,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:02.1278009Z,1755949442127,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,REQUEST,,,101.05,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:02.1281863Z,1755949442128,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,ACK,,1,101.05,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:02.1284030Z,1755949442128,ORD-105,101.05,,101.0495,,,1,1,-0.0005000000000023874,filled,ORD-105,Sell,SELL,Market,FILL,filled,1,101.05,101.0495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:02.3748575Z,1755949442374,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,REQUEST,,,101.2,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:02.3751353Z,1755949442375,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,ACK,,1,101.2,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:02.3753059Z,1755949442375,ORD-120,101.2,101.15,101.2005,,,1,1,0.0005000000000023874,filled,ORD-120,Buy,BUY,Market,FILL,filled,1,101.2,101.2005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:02.6097679Z,1755949442609,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,REQUEST,,,101.35,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:02.6103453Z,1755949442610,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,ACK,,1,101.35,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:02.6106268Z,1755949442610,ORD-135,101.35,,101.34949999999999,,,1,1,-0.0005000000000023874,filled,ORD-135,Sell,SELL,Market,FILL,filled,1,101.35,101.34949999999999,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:02.8586427Z,1755949442858,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,REQUEST,,,101.5,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:02.8589055Z,1755949442858,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,ACK,,0,101.5,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:02.8590239Z,1755949442859,ORD-150,101.5,101.45,101.5005,,,1,1,0.0005000000000023874,filled,ORD-150,Buy,BUY,Market,FILL,filled,1,101.5,101.5005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T11:44:03.1089489Z,1755949443108,ORD-165,101.65,,,,,1,,,,ORD-165,Sell,SELL,Market,REQUEST,,,101.65,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T11:44:03.1092074Z,1755949443109,ORD-165,101.65,,,,,1,,,,ORD-165,Sell,SELL,Market,ACK,,1,101.65,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T11:44:03.1093175Z,1755949443109,ORD-165,101.65,,101.6495,,,1,1,-0.0005000000000023874,filled,ORD-165,Sell,SELL,Market,FILL,filled,1,101.65,101.6495,1,1,HARNESS,DESKTOP-584MV4B
