trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T05:39:40.8680295Z,2025-08-24T05:39:41.1439997Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T05:39:41.4120410Z,2025-08-24T05:39:41.6817979Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T05:39:41.9525510Z,2025-08-24T05:39:42.1966760Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T05:39:42.4647057Z,2025-08-24T05:39:42.7261005Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T05:39:42.9817359Z,2025-08-24T05:39:43.2373309Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T05:39:43.5142925Z,2025-08-24T05:39:43.7785590Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T05:39:44.0646051Z,2025-08-24T05:39:44.3349905Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T05:39:44.6127724Z,2025-08-24T05:39:44.8631678Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T05:39:45.1335116Z,2025-08-24T05:39:45.3911518Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T05:39:45.6677334Z,2025-08-24T05:39:45.9252519Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T05:39:46.2129722Z,2025-08-24T05:39:46.4853904Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T05:39:46.7641330Z,2025-08-24T05:39:47.0265583Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T05:39:47.2802502Z,2025-08-24T05:39:47.5554726Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
