timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-08-24T05:54:14.4812824Z,2.0166666666666666,13,9,9,4
2025-08-24T05:54:16.4677601Z,2,12,8,8,3
2025-08-24T05:54:18.4780228Z,2.1166666666666667,12,8,8,3
2025-08-24T05:54:20.4678611Z,2.05,13,8,7,4
2025-08-24T05:54:22.4862227Z,2.033333333333333,12,8,8,3
2025-08-24T05:54:24.4694113Z,2.066666666666667,12,9,9,3
2025-08-24T05:54:26.4702342Z,2.0166666666666666,12,8,8,4
2025-08-24T05:54:28.4703758Z,2.066666666666667,13,8,8,3
2025-08-24T05:54:30.4698411Z,2.0166666666666666,12,8,8,3
2025-08-24T05:54:32.4753871Z,2.1166666666666667,12,8,6,4
2025-08-24T05:54:34.4773907Z,2.05,13,9,9,3
2025-08-24T05:54:36.4773421Z,2.066666666666667,12,8,6,3
2025-08-24T05:54:38.4749291Z,2.033333333333333,12,8,8,4
2025-08-24T05:54:40.4800518Z,2.05,13,8,7,3
2025-08-24T05:54:42.4686330Z,2.066666666666667,12,9,6,3
2025-08-24T05:54:44.4680184Z,2.0166666666666666,12,8,8,4
2025-08-24T05:54:46.4820344Z,2.05,12,8,8,3
2025-08-24T05:54:48.4707764Z,2.033333333333333,13,8,7,3
2025-08-24T05:54:50.4708760Z,2.05,12,8,6,4
2025-08-24T05:54:52.4680093Z,2.066666666666667,12,8,8,3
2025-08-24T05:54:54.4739967Z,2.0833333333333335,13,9,7,3
2025-08-24T05:54:56.4681923Z,2.0166666666666666,12,8,7,4
2025-08-24T05:54:58.4781502Z,2.033333333333333,12,8,6,3
2025-08-24T05:55:00.4648688Z,2.0166666666666666,12,8,7,3
2025-08-24T05:55:02.4632675Z,2.0166666666666666,12,8,8,3
2025-08-24T05:55:04.4641802Z,2.05,13,8,6,4
2025-08-24T05:55:06.4668045Z,2.033333333333333,12,8,7,3
2025-08-24T05:55:08.4688895Z,2.033333333333333,12,9,9,3
2025-08-24T05:55:10.4744735Z,2.0833333333333335,13,8,7,4
2025-08-24T05:55:12.4683214Z,2.0166666666666666,12,8,8,3
2025-08-24T05:55:14.4676452Z,2.066666666666667,12,8,6,3
2025-08-24T05:55:16.4714530Z,2.0833333333333335,13,9,7,4
2025-08-24T05:55:18.4747465Z,2.066666666666667,12,8,8,3
2025-08-24T05:55:20.4760674Z,2.05,12,8,6,3
2025-08-24T05:55:22.4722713Z,2.033333333333333,12,8,8,4
2025-08-24T05:55:24.4772345Z,2.066666666666667,13,8,7,3
2025-08-24T05:55:26.4818004Z,2.0833333333333335,12,9,8,3
2025-08-24T05:55:28.4656159Z,1.9833333333333334,12,8,8,4
2025-08-24T05:55:30.4720598Z,2.1,13,8,8,3
2025-08-24T05:55:32.4804210Z,2.0166666666666666,12,8,7,3
2025-08-24T05:55:34.4697418Z,2.05,12,8,7,4
2025-08-24T05:55:36.4799176Z,2.05,13,9,7,3
2025-08-24T05:55:38.4692492Z,2.1166666666666667,12,8,7,3
2025-08-24T05:55:40.4703877Z,2.033333333333333,12,8,7,4
2025-08-24T05:55:42.4710287Z,2.05,13,8,6,3
2025-08-24T05:55:44.4781414Z,2.0166666666666666,12,8,8,3
2025-08-24T05:55:46.4700261Z,2.066666666666667,12,9,8,4
2025-08-24T05:55:48.4680303Z,2.066666666666667,13,8,8,3
2025-08-24T05:55:50.4753072Z,2.05,12,8,7,3
2025-08-24T05:55:52.4817887Z,2.0833333333333335,12,8,6,4
2025-08-24T05:55:54.4658571Z,2.05,13,9,7,3
2025-08-24T05:55:56.4691317Z,2.066666666666667,12,8,6,3
2025-08-24T05:55:58.4669780Z,2.066666666666667,13,8,6,4
2025-08-24T05:56:00.4701207Z,2.05,12,8,8,3
2025-08-24T05:56:02.4756722Z,2.033333333333333,12,9,6,3
2025-08-24T05:56:04.4680363Z,2,12,8,7,4
2025-08-24T05:56:06.4760622Z,2.033333333333333,12,8,8,3
2025-08-24T05:56:08.4745652Z,2.066666666666667,13,8,8,3
2025-08-24T05:56:10.4793126Z,2.066666666666667,12,8,8,4
2025-08-24T05:56:12.4785084Z,2.066666666666667,12,8,8,3
2025-08-24T05:56:14.4656399Z,2.033333333333333,13,9,8,3
2025-08-24T05:56:16.4633257Z,2.0833333333333335,12,8,6,4
2025-08-24T05:56:18.4647738Z,2.0166666666666666,12,8,7,3
2025-08-24T05:56:20.4787757Z,2.066666666666667,13,8,7,3
2025-08-24T05:56:22.4696596Z,2.033333333333333,12,8,8,4
2025-08-24T05:56:24.4674374Z,2.033333333333333,12,9,9,3
2025-08-24T05:56:26.4730637Z,2.0833333333333335,13,8,8,3
2025-08-24T05:56:28.4749100Z,2.033333333333333,12,8,6,4
2025-08-24T05:56:30.4808252Z,2.0833333333333335,12,8,8,3
2025-08-24T05:56:32.4730788Z,2.033333333333333,12,8,8,3
2025-08-24T05:56:34.4718425Z,2.0833333333333335,13,9,7,4
2025-08-24T05:56:36.4802443Z,2.05,12,8,8,3
2025-08-24T05:56:38.4752233Z,2.033333333333333,12,8,7,3
2025-08-24T05:56:40.4808552Z,2.033333333333333,13,8,7,3
2025-08-24T05:56:42.4778110Z,2.05,12,8,8,4
2025-08-24T05:56:44.4684426Z,2.033333333333333,12,9,8,3
2025-08-24T05:56:46.4708695Z,2,12,8,6,3
2025-08-24T05:56:48.4704248Z,2.0833333333333335,13,8,8,4
2025-08-24T05:56:50.4792845Z,2.1,12,8,8,3
2025-08-24T05:56:52.4684988Z,2.05,13,9,7,3
2025-08-24T05:56:54.4755923Z,2.033333333333333,12,8,8,4
2025-08-24T05:56:56.4726472Z,2.066666666666667,12,8,7,3
2025-08-24T05:56:58.4765269Z,2.033333333333333,12,8,7,3
2025-08-24T05:57:00.4744055Z,2.033333333333333,13,8,7,4
2025-08-24T05:57:02.4804223Z,2.0833333333333335,12,9,5,3
2025-08-24T05:57:04.4792129Z,2.1,13,8,7,3
2025-08-24T05:57:06.4681792Z,2.1,12,8,8,4
2025-08-24T05:57:08.4789344Z,2.0833333333333335,13,9,9,3
2025-08-24T05:57:10.4694030Z,2.0166666666666666,12,8,6,4
2025-08-24T05:57:12.4723344Z,2.05,12,8,8,3
2025-08-24T05:57:14.4701818Z,2.0166666666666666,12,8,7,3
2025-08-24T05:57:16.4722692Z,2.1,13,8,7,4
2025-08-24T05:57:18.4761976Z,2.066666666666667,12,9,8,3
2025-08-24T05:57:20.4754760Z,2.033333333333333,12,8,8,3
2025-08-24T05:57:22.4753093Z,2.033333333333333,13,8,8,3
2025-08-24T05:57:24.4804541Z,2.033333333333333,12,8,8,4
2025-08-24T05:57:26.4769745Z,2.05,12,8,7,3
2025-08-24T05:57:28.4800122Z,2.0833333333333335,13,9,8,3
2025-08-24T05:57:30.4698252Z,1.9833333333333334,12,8,8,4
2025-08-24T05:57:32.4678708Z,2.066666666666667,12,8,8,3
2025-08-24T05:57:34.4673221Z,2.0833333333333335,12,8,7,3
2025-08-24T05:57:36.4694969Z,1.9666666666666666,12,8,8,4
2025-08-24T05:57:38.4732421Z,2.05,13,8,6,3
2025-08-24T05:57:40.4753011Z,2.033333333333333,12,8,8,3
2025-08-24T05:57:42.4809992Z,2.0833333333333335,12,9,8,4
2025-08-24T05:57:44.4777825Z,2.05,13,8,8,3
2025-08-24T05:57:46.4769684Z,2.033333333333333,12,8,7,3
2025-08-24T05:57:48.4663817Z,2,12,8,8,3
2025-08-24T05:57:50.4751988Z,2.066666666666667,12,8,8,4
2025-08-24T05:57:52.4792671Z,2.05,12,8,8,3
2025-08-24T05:57:54.4655363Z,2,12,8,7,3
2025-08-24T05:57:56.4700426Z,2.066666666666667,13,9,9,4
2025-08-24T05:57:58.4676568Z,2.05,12,8,6,3
2025-08-24T05:58:00.4723039Z,2.033333333333333,12,8,8,3
2025-08-24T05:58:02.4672171Z,2.0166666666666666,12,8,8,4
2025-08-24T05:58:04.4736537Z,2.05,13,8,7,3
2025-08-24T05:58:06.4766053Z,2.0833333333333335,12,9,8,3
2025-08-24T05:58:08.4764357Z,2.066666666666667,13,8,8,4
2025-08-24T05:58:10.4746889Z,2.033333333333333,12,8,7,3
2025-08-24T05:58:12.4756053Z,2.05,12,8,7,3
2025-08-24T05:58:14.4676318Z,2.05,12,8,8,4
2025-08-24T05:58:16.4772155Z,2.033333333333333,13,9,6,3
2025-08-24T05:58:18.4679677Z,2.1,12,8,7,3
2025-08-24T05:58:20.4685640Z,2.066666666666667,13,8,7,4
2025-08-24T05:58:22.4698886Z,2.0833333333333335,12,9,8,3
2025-08-24T05:58:24.4696556Z,2.033333333333333,12,8,8,3
2025-08-24T05:58:26.4664108Z,2.033333333333333,13,8,6,4
2025-08-24T05:58:28.4710414Z,2.066666666666667,12,8,7,3
2025-08-24T05:58:30.4741385Z,2.0833333333333335,12,8,8,3
2025-08-24T05:58:32.4791711Z,2.05,13,9,9,4
2025-08-24T05:58:34.4713018Z,2.033333333333333,12,8,8,3
2025-08-24T05:58:36.4796107Z,2.033333333333333,12,8,7,3
2025-08-24T05:58:38.4776952Z,2.05,12,8,7,4
2025-08-24T05:58:40.4680558Z,2.033333333333333,13,8,7,3
2025-08-24T05:58:42.4667866Z,2.0166666666666666,12,8,7,3
2025-08-24T05:58:44.4806730Z,2.0833333333333335,12,9,8,4
2025-08-24T05:58:46.4708874Z,2.033333333333333,12,8,7,3
2025-08-24T05:58:48.4695728Z,2.033333333333333,13,8,7,3
2025-08-24T05:58:50.4766381Z,2.033333333333333,12,8,8,3
2025-08-24T05:58:52.4743553Z,2.0833333333333335,12,8,8,4
2025-08-24T05:58:54.4687161Z,2.0166666666666666,12,8,6,3
2025-08-24T05:58:56.4776077Z,2.05,13,9,8,3
2025-08-24T05:58:58.4635445Z,2.0166666666666666,12,8,7,4
2025-08-24T05:59:00.4642572Z,2.033333333333333,12,8,8,3
2025-08-24T05:59:02.4653407Z,2.033333333333333,12,8,6,3
2025-08-24T05:59:04.4787744Z,2.033333333333333,12,8,8,4
2025-08-24T05:59:06.4669152Z,2.0833333333333335,13,8,6,3
2025-08-24T05:59:08.4695410Z,2.05,12,9,9,3
2025-08-24T05:59:10.4696048Z,2.066666666666667,13,8,7,4
