trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T06:26:19.2036888Z,2025-08-24T06:26:19.4579972Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T06:26:19.7214841Z,2025-08-24T06:26:19.9837212Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T06:26:20.2215791Z,2025-08-24T06:26:20.4767091Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T06:26:20.7241936Z,2025-08-24T06:26:20.9630213Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T06:26:21.2306278Z,2025-08-24T06:26:21.4766636Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T06:26:21.7281111Z,2025-08-24T06:26:21.9791622Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T06:26:22.2280982Z,2025-08-24T06:26:22.4809517Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T06:26:22.7329621Z,2025-08-24T06:26:22.9927849Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T06:26:23.2278040Z,2025-08-24T06:26:23.4731803Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T06:26:23.7125169Z,2025-08-24T06:26:23.9615386Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T06:26:24.2047026Z,2025-08-24T06:26:24.4611259Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T06:26:24.7125776Z,2025-08-24T06:26:24.9636959Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T06:26:25.2125736Z,2025-08-24T06:26:25.4574186Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-24T06:26:25.6966250Z,2025-08-24T06:26:25.9474785Z,BUY-SELL,1,103.9,104.05,0.14999999999999147,0,reconstructed
R-15,ORD-420,ORD-465,2025-08-24T06:26:26.1964740Z,2025-08-24T06:26:26.9683329Z,BUY-SELL,1,104.2,104.65,0.45000000000000284,0,reconstructed
R-16,ORD-450,ORD-495,2025-08-24T06:26:26.7021875Z,2025-08-24T06:26:27.4658867Z,BUY-SELL,1,104.5,104.95,0.45000000000000284,0,reconstructed
R-17,ORD-480,ORD-525,2025-08-24T06:26:27.2148322Z,2025-08-24T06:26:27.9809068Z,BUY-SELL,1,104.8,105.25,0.45000000000000284,0,reconstructed
R-18,ORD-510,ORD-555,2025-08-24T06:26:27.7322223Z,2025-08-24T06:26:28.4938521Z,BUY-SELL,1,105.1,105.55,0.45000000000000284,0,reconstructed
R-19,ORD-540,ORD-585,2025-08-24T06:26:28.2349570Z,2025-08-24T06:26:28.9834461Z,BUY-SELL,1,105.4,105.85,0.44999999999998863,0,reconstructed
