trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T06:40:04.6308322Z,2025-08-24T06:40:04.8783332Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T06:40:05.1479720Z,2025-08-24T06:40:05.4126280Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T06:40:05.6793342Z,2025-08-24T06:40:05.9331693Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T06:40:06.1889805Z,2025-08-24T06:40:06.4528538Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T06:40:06.7155352Z,2025-08-24T06:40:06.9614026Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T06:40:07.2117725Z,2025-08-24T06:40:07.4467372Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T06:40:07.6909631Z,2025-08-24T06:40:07.9148714Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T06:40:08.1587857Z,2025-08-24T06:40:08.3976331Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T06:40:08.6600302Z,2025-08-24T06:40:08.8927617Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T06:40:09.1481700Z,2025-08-24T06:40:09.3768561Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T06:40:09.6353726Z,2025-08-24T06:40:09.8807245Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T06:40:10.1337025Z,2025-08-24T06:40:10.3943617Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T06:40:10.6508834Z,2025-08-24T06:40:10.9004202Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-24T06:40:11.1534302Z,2025-08-24T06:40:11.3988958Z,BUY-SELL,1,103.9,104.05,0.14999999999999147,0,reconstructed
R-15,ORD-420,ORD-465,2025-08-24T06:40:11.6466506Z,2025-08-24T06:40:12.3844886Z,BUY-SELL,1,104.2,104.65,0.45000000000000284,0,reconstructed
R-16,ORD-450,ORD-495,2025-08-24T06:40:12.1384641Z,2025-08-24T06:40:12.8868826Z,BUY-SELL,1,104.5,104.95,0.45000000000000284,0,reconstructed
R-17,ORD-480,ORD-525,2025-08-24T06:40:12.6510170Z,2025-08-24T06:40:13.3977143Z,BUY-SELL,1,104.8,105.25,0.45000000000000284,0,reconstructed
R-18,ORD-510,ORD-555,2025-08-24T06:40:13.1506474Z,2025-08-24T06:40:13.9018061Z,BUY-SELL,1,105.1,105.55,0.45000000000000284,0,reconstructed
R-19,ORD-540,ORD-585,2025-08-24T06:40:13.6557307Z,2025-08-24T06:40:14.4136705Z,BUY-SELL,1,105.4,105.85,0.44999999999998863,0,reconstructed
R-20,ORD-570,ORD-615,2025-08-24T06:40:14.1731352Z,2025-08-24T06:40:14.8850161Z,BUY-SELL,1,105.7,106.15,0.45000000000000284,0,reconstructed
R-21,ORD-600,ORD-645,2025-08-24T06:40:14.6680203Z,2025-08-24T06:40:15.3796629Z,BUY-SELL,1,106,106.45,0.45000000000000284,0,reconstructed
R-22,ORD-630,ORD-675,2025-08-24T06:40:15.1524682Z,2025-08-24T06:40:15.8699058Z,BUY-SELL,1,106.3,106.75,0.45000000000000284,0,reconstructed
R-23,ORD-660,ORD-705,2025-08-24T06:40:15.6315657Z,2025-08-24T06:40:16.3737684Z,BUY-SELL,1,106.6,107.05,0.45000000000000284,0,reconstructed
R-24,ORD-690,ORD-735,2025-08-24T06:40:16.1202171Z,2025-08-24T06:40:16.8719295Z,BUY-SELL,1,106.9,107.35,0.44999999999998863,0,reconstructed
R-25,ORD-720,ORD-765,2025-08-24T06:40:16.6377279Z,2025-08-24T06:40:17.3889061Z,BUY-SELL,1,107.2,107.65,0.45000000000000284,0,reconstructed
R-26,ORD-750,ORD-795,2025-08-24T06:40:17.1331206Z,2025-08-24T06:40:17.8912061Z,BUY-SELL,1,107.5,107.95,0.45000000000000284,0,reconstructed
R-27,ORD-780,ORD-825,2025-08-24T06:40:17.6536246Z,2025-08-24T06:40:18.3877402Z,BUY-SELL,1,107.8,108.25,0.45000000000000284,0,reconstructed
R-28,ORD-810,ORD-855,2025-08-24T06:40:18.1549537Z,2025-08-24T06:40:18.8887365Z,BUY-SELL,1,108.1,108.55,0.45000000000000284,0,reconstructed
R-29,ORD-840,ORD-885,2025-08-24T06:40:18.6398423Z,2025-08-24T06:40:19.4024184Z,BUY-SELL,1,108.4,108.85,0.44999999999998863,0,reconstructed
R-30,ORD-870,ORD-915,2025-08-24T06:40:19.1550324Z,2025-08-24T06:40:19.9007901Z,BUY-SELL,1,108.7,109.15,0.45000000000000284,0,reconstructed
R-31,ORD-900,ORD-945,2025-08-24T06:40:19.6586070Z,2025-08-24T06:40:20.3834152Z,BUY-SELL,1,109,109.45,0.45000000000000284,0,reconstructed
R-32,ORD-930,ORD-975,2025-08-24T06:40:20.1567172Z,2025-08-24T06:40:20.8731268Z,BUY-SELL,1,109.3,109.75,0.45000000000000284,0,reconstructed
R-33,ORD-960,ORD-1005,2025-08-24T06:40:20.6427808Z,2025-08-24T06:40:21.3726592Z,BUY-SELL,1,109.6,110.05,0.45000000000000284,0,reconstructed
R-34,ORD-990,ORD-1035,2025-08-24T06:40:21.1381249Z,2025-08-24T06:40:21.8893193Z,BUY-SELL,1,109.9,110.35,0.44999999999998863,0,reconstructed
R-35,ORD-1020,ORD-1065,2025-08-24T06:40:21.6444107Z,2025-08-24T06:40:22.3910690Z,BUY-SELL,1,110.2,110.65,0.45000000000000284,0,reconstructed
R-36,ORD-1050,ORD-1095,2025-08-24T06:40:22.1423092Z,2025-08-24T06:40:22.8905905Z,BUY-SELL,1,110.5,110.95,0.45000000000000284,0,reconstructed
R-37,ORD-1080,ORD-1125,2025-08-24T06:40:22.6566495Z,2025-08-24T06:40:23.3897029Z,BUY-SELL,1,110.8,111.25,0.45000000000000284,0,reconstructed
R-38,ORD-1110,ORD-1155,2025-08-24T06:40:23.1592662Z,2025-08-24T06:40:23.8722580Z,BUY-SELL,1,111.1,111.55,0.45000000000000284,0,reconstructed
