phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host,order_id,timestamp_request,timestamp_ack,timestamp_fill
REQUEST,2025-10-09T12:29:43.7988143Z,1760012983798,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,REQUEST,,,100,,1,,HARNESS,DESKTOP-584MV4B,ORD-0,2025-10-09T12:29:43.7988143Z,,
ACK,2025-10-09T12:29:43.8018759Z,1760012983801,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,ACK,,3,100,,1,,HARNESS,DESKTOP-584MV4B,ORD-0,2025-10-09T12:29:43.7988143Z,2025-10-09T12:29:43.8018759Z,
FILL,2025-10-09T12:29:43.8036365Z,1760012983803,ORD-0,100,99.95,100.0005,,,1,1,0.0005000000000023874,filled,ORD-0,Buy,BUY,Market,FILL,filled,5,100,100.0005,1,1,HARNESS,DESKTOP-584MV4B,ORD-0,2025-10-09T12:29:43.7988143Z,2025-10-09T12:29:43.8018759Z,2025-10-09T12:29:43.8036365Z
REQUEST,2025-10-09T12:29:44.0064556Z,1760012984006,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,REQUEST,,,100.15,,1,,HARNESS,DESKTOP-584MV4B,ORD-15,2025-10-09T12:29:44.0064556Z,,
ACK,2025-10-09T12:29:44.0148236Z,1760012984014,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,ACK,,8,100.15,,1,,HARNESS,DESKTOP-584MV4B,ORD-15,2025-10-09T12:29:44.0064556Z,2025-10-09T12:29:44.0148236Z,
FILL,2025-10-09T12:29:44.0161850Z,1760012984016,ORD-15,100.15,,100.1495,,,1,1,-0.0005000000000023874,filled,ORD-15,Sell,SELL,Market,FILL,filled,10,100.15,100.1495,1,1,HARNESS,DESKTOP-584MV4B,ORD-15,2025-10-09T12:29:44.0064556Z,2025-10-09T12:29:44.0148236Z,2025-10-09T12:29:44.0161850Z
REQUEST,2025-10-09T12:29:44.2459078Z,1760012984245,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,REQUEST,,,100.3,,1,,HARNESS,DESKTOP-584MV4B,ORD-30,2025-10-09T12:29:44.2459078Z,,
ACK,2025-10-09T12:29:44.2532033Z,1760012984253,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,ACK,,8,100.3,,1,,HARNESS,DESKTOP-584MV4B,ORD-30,2025-10-09T12:29:44.2459078Z,2025-10-09T12:29:44.2532033Z,
FILL,2025-10-09T12:29:44.2547718Z,1760012984254,ORD-30,100.3,100.25,100.3005,,,1,1,0.0005000000000023874,filled,ORD-30,Buy,BUY,Market,FILL,filled,9,100.3,100.3005,1,1,HARNESS,DESKTOP-584MV4B,ORD-30,2025-10-09T12:29:44.2459078Z,2025-10-09T12:29:44.2532033Z,2025-10-09T12:29:44.2547718Z
REQUEST,2025-10-09T12:29:44.4507007Z,1760012984450,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,REQUEST,,,100.45,,1,,HARNESS,DESKTOP-584MV4B,ORD-45,2025-10-09T12:29:44.4507007Z,,
ACK,2025-10-09T12:29:44.4593536Z,1760012984459,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,ACK,,9,100.45,,1,,HARNESS,DESKTOP-584MV4B,ORD-45,2025-10-09T12:29:44.4507007Z,2025-10-09T12:29:44.4593536Z,
FILL,2025-10-09T12:29:44.4606435Z,1760012984460,ORD-45,100.45,,100.4495,,,1,1,-0.0005000000000023874,filled,ORD-45,Sell,SELL,Market,FILL,filled,10,100.45,100.4495,1,1,HARNESS,DESKTOP-584MV4B,ORD-45,2025-10-09T12:29:44.4507007Z,2025-10-09T12:29:44.4593536Z,2025-10-09T12:29:44.4606435Z
REQUEST,2025-10-09T12:29:44.6655361Z,1760012984665,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,REQUEST,,,100.6,,1,,HARNESS,DESKTOP-584MV4B,ORD-60,2025-10-09T12:29:44.6655361Z,,
ACK,2025-10-09T12:29:44.6754138Z,1760012984675,ORD-60,100.6,100.55,,,,1,,,,ORD-60,Buy,BUY,Market,ACK,,10,100.6,,1,,HARNESS,DESKTOP-584MV4B,ORD-60,2025-10-09T12:29:44.6655361Z,2025-10-09T12:29:44.6754138Z,
FILL,2025-10-09T12:29:44.6762832Z,1760012984676,ORD-60,100.6,100.55,100.6005,,,1,1,0.0005000000000023874,filled,ORD-60,Buy,BUY,Market,FILL,filled,11,100.6,100.6005,1,1,HARNESS,DESKTOP-584MV4B,ORD-60,2025-10-09T12:29:44.6655361Z,2025-10-09T12:29:44.6754138Z,2025-10-09T12:29:44.6762832Z
REQUEST,2025-10-09T12:29:44.9012164Z,1760012984901,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,REQUEST,,,100.75,,1,,HARNESS,DESKTOP-584MV4B,ORD-75,2025-10-09T12:29:44.9012164Z,,
ACK,2025-10-09T12:29:44.9091530Z,1760012984909,ORD-75,100.75,,,,,1,,,,ORD-75,Sell,SELL,Market,ACK,,8,100.75,,1,,HARNESS,DESKTOP-584MV4B,ORD-75,2025-10-09T12:29:44.9012164Z,2025-10-09T12:29:44.9091530Z,
FILL,2025-10-09T12:29:44.9107039Z,1760012984910,ORD-75,100.75,,100.7495,,,1,1,-0.0005000000000023874,filled,ORD-75,Sell,SELL,Market,FILL,filled,9,100.75,100.7495,1,1,HARNESS,DESKTOP-584MV4B,ORD-75,2025-10-09T12:29:44.9012164Z,2025-10-09T12:29:44.9091530Z,2025-10-09T12:29:44.9107039Z
REQUEST,2025-10-09T12:29:45.1515308Z,1760012985151,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,REQUEST,,,100.9,,1,,HARNESS,DESKTOP-584MV4B,ORD-90,2025-10-09T12:29:45.1515308Z,,
ACK,2025-10-09T12:29:45.1635324Z,1760012985163,ORD-90,100.9,100.85000000000001,,,,1,,,,ORD-90,Buy,BUY,Market,ACK,,12,100.9,,1,,HARNESS,DESKTOP-584MV4B,ORD-90,2025-10-09T12:29:45.1515308Z,2025-10-09T12:29:45.1635324Z,
FILL,2025-10-09T12:29:45.1656549Z,1760012985165,ORD-90,100.9,100.85000000000001,100.90050000000001,,,1,1,0.0005000000000023874,filled,ORD-90,Buy,BUY,Market,FILL,filled,14,100.9,100.90050000000001,1,1,HARNESS,DESKTOP-584MV4B,ORD-90,2025-10-09T12:29:45.1515308Z,2025-10-09T12:29:45.1635324Z,2025-10-09T12:29:45.1656549Z
REQUEST,2025-10-09T12:29:45.3898185Z,1760012985389,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,REQUEST,,,101.05,,1,,HARNESS,DESKTOP-584MV4B,ORD-105,2025-10-09T12:29:45.3898185Z,,
ACK,2025-10-09T12:29:45.3965425Z,1760012985396,ORD-105,101.05,,,,,1,,,,ORD-105,Sell,SELL,Market,ACK,,7,101.05,,1,,HARNESS,DESKTOP-584MV4B,ORD-105,2025-10-09T12:29:45.3898185Z,2025-10-09T12:29:45.3965425Z,
FILL,2025-10-09T12:29:45.3974358Z,1760012985397,ORD-105,101.05,,101.0495,,,1,1,-0.0005000000000023874,filled,ORD-105,Sell,SELL,Market,FILL,filled,8,101.05,101.0495,1,1,HARNESS,DESKTOP-584MV4B,ORD-105,2025-10-09T12:29:45.3898185Z,2025-10-09T12:29:45.3965425Z,2025-10-09T12:29:45.3974358Z
REQUEST,2025-10-09T12:29:45.6132669Z,1760012985613,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,REQUEST,,,101.2,,1,,HARNESS,DESKTOP-584MV4B,ORD-120,2025-10-09T12:29:45.6132669Z,,
ACK,2025-10-09T12:29:45.6149699Z,1760012985614,ORD-120,101.2,101.15,,,,1,,,,ORD-120,Buy,BUY,Market,ACK,,1,101.2,,1,,HARNESS,DESKTOP-584MV4B,ORD-120,2025-10-09T12:29:45.6132669Z,2025-10-09T12:29:45.6149699Z,
FILL,2025-10-09T12:29:45.6163855Z,1760012985616,ORD-120,101.2,101.15,101.2005,,,1,1,0.0005000000000023874,filled,ORD-120,Buy,BUY,Market,FILL,filled,3,101.2,101.2005,1,1,HARNESS,DESKTOP-584MV4B,ORD-120,2025-10-09T12:29:45.6132669Z,2025-10-09T12:29:45.6149699Z,2025-10-09T12:29:45.6163855Z
