timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-08-30T03:44:07.0337838Z,2.033333333333333,13,9,9,4
2025-08-30T03:44:09.0311464Z,2.033333333333333,12,8,8,3
2025-08-30T03:44:11.0286026Z,2.033333333333333,12,8,8,3
2025-08-30T03:44:13.0176984Z,2,12,8,8,4
2025-08-30T03:44:15.0165598Z,2.05,12,8,8,3
2025-08-30T03:44:17.0197669Z,2.066666666666667,13,8,8,3
2025-08-30T03:44:19.0167736Z,2.05,12,9,8,4
2025-08-30T03:44:21.0175295Z,2.05,12,8,9,3
2025-08-30T03:44:23.0264188Z,2,12,8,8,3
2025-08-30T03:44:25.0226540Z,2.0166666666666666,12,8,8,3
2025-08-30T03:44:27.0271310Z,2.0833333333333335,13,8,8,4
2025-08-30T03:44:29.0252014Z,2.05,12,8,8,3
2025-08-30T03:44:31.0165326Z,2.0833333333333335,13,9,9,4
2025-08-30T03:44:33.0152466Z,2.033333333333333,12,8,8,3
2025-08-30T03:44:35.0277743Z,2.033333333333333,12,8,8,3
2025-08-30T03:44:37.0211185Z,2.05,12,8,8,3
2025-08-30T03:44:39.0175859Z,2.05,13,8,8,4
2025-08-30T03:44:41.0304798Z,2.05,12,9,8,3
2025-08-30T03:44:43.0184212Z,2.0166666666666666,12,8,9,3
2025-08-30T03:44:45.0243764Z,2.066666666666667,13,8,8,4
2025-08-30T03:44:47.0229026Z,2.05,12,8,8,3
2025-08-30T03:44:49.0273868Z,2,12,8,8,3
2025-08-30T03:44:51.0228153Z,2.0166666666666666,12,8,8,4
2025-08-30T03:44:53.0265596Z,2.033333333333333,12,8,8,3
2025-08-30T03:44:55.0245123Z,2.05,12,8,8,3
2025-08-30T03:44:57.0180948Z,2.0166666666666666,13,9,8,3
2025-08-30T03:44:59.0169403Z,2.033333333333333,12,8,9,4
2025-08-30T03:45:01.0297937Z,2.066666666666667,12,8,8,3
2025-08-30T03:45:03.0188669Z,2.033333333333333,12,8,8,3
2025-08-30T03:45:05.0175163Z,2.05,13,8,8,4
2025-08-30T03:45:07.0248250Z,2.0833333333333335,12,9,9,3
2025-08-30T03:45:09.0256251Z,2.066666666666667,13,8,8,3
2025-08-30T03:45:11.0225416Z,2.0166666666666666,12,8,8,4
2025-08-30T03:45:13.0299852Z,2.0166666666666666,12,8,8,3
2025-08-30T03:45:15.0243288Z,2.0166666666666666,12,8,8,3
2025-08-30T03:45:17.0272052Z,2.05,12,8,8,4
2025-08-30T03:45:19.0271391Z,2.066666666666667,13,9,8,3
2025-08-30T03:45:21.0188359Z,2,12,8,8,3
2025-08-30T03:45:23.0159286Z,2.033333333333333,12,8,9,3
2025-08-30T03:45:25.0176079Z,2.0833333333333335,12,8,8,4
2025-08-30T03:45:27.0151795Z,2.066666666666667,13,8,8,3
2025-08-30T03:45:29.0195682Z,2.05,12,8,8,4
2025-08-30T03:45:31.0166479Z,2.033333333333333,12,9,9,3
2025-08-30T03:45:33.0221196Z,2.05,12,8,8,3
2025-08-30T03:45:35.0239742Z,2.066666666666667,13,8,8,4
2025-08-30T03:45:37.0171998Z,2.0166666666666666,12,8,8,3
2025-08-30T03:45:39.0232551Z,2.066666666666667,12,8,8,3
2025-08-30T03:45:41.0290835Z,2.033333333333333,13,9,9,3
2025-08-30T03:45:43.0299438Z,2.066666666666667,12,8,8,4
2025-08-30T03:45:45.0258558Z,2.05,12,8,8,3
2025-08-30T03:45:47.0173502Z,2,12,8,8,3
2025-08-30T03:45:49.0300756Z,2.066666666666667,13,8,8,4
2025-08-30T03:45:51.0212414Z,2.0166666666666666,12,8,8,3
2025-08-30T03:45:53.0151127Z,2.05,12,9,9,3
2025-08-30T03:45:55.0199057Z,2.066666666666667,12,8,8,4
2025-08-30T03:45:57.0185832Z,2,12,8,8,3
2025-08-30T03:45:59.0269401Z,2.05,13,8,8,3
2025-08-30T03:46:01.0237343Z,2.0833333333333335,12,8,8,4
