trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes,gross_pnl
T-ORD-15,ORD-0,ORD-15,2025-09-01T05:07:55.9833913Z,2025-09-01T05:07:56.2280039Z,BUY-SELL,1,100.0005,100.1495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-45,ORD-30,ORD-45,2025-09-01T05:07:56.4705089Z,2025-09-01T05:07:56.7109120Z,BUY-SELL,1,100.3005,100.4495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-75,ORD-60,ORD-75,2025-09-01T05:07:56.9629597Z,2025-09-01T05:07:57.2138259Z,BUY-SELL,1,100.6005,100.7495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-105,ORD-90,ORD-105,2025-09-01T05:07:57.4553064Z,2025-09-01T05:07:57.6734062Z,BUY-SELL,1,100.90050000000001,101.0495,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-135,ORD-120,ORD-135,2025-09-01T05:07:57.8873656Z,2025-09-01T05:07:58.1012936Z,BUY-SELL,1,101.2005,101.34949999999999,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-165,ORD-150,ORD-165,2025-09-01T05:07:58.3217358Z,2025-09-01T05:07:58.5223439Z,BUY-SELL,1,101.5005,101.6495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-195,ORD-180,ORD-195,2025-09-01T05:07:58.7440449Z,2025-09-01T05:07:58.9415274Z,BUY-SELL,1,101.8005,101.9495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-225,ORD-210,ORD-225,2025-09-01T05:07:59.1793538Z,2025-09-01T05:07:59.3841615Z,BUY-SELL,1,102.1005,102.2495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-255,ORD-240,ORD-255,2025-09-01T05:07:59.5933908Z,2025-09-01T05:07:59.8313121Z,BUY-SELL,1,102.40050000000001,102.5495,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-285,ORD-270,ORD-285,2025-09-01T05:08:00.0429885Z,2025-09-01T05:08:00.2197047Z,BUY-SELL,1,102.7005,102.84949999999999,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-315,ORD-300,ORD-315,2025-09-01T05:08:00.4320909Z,2025-09-01T05:08:00.6734108Z,BUY-SELL,1,103.0005,103.1495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-345,ORD-330,ORD-345,2025-09-01T05:08:00.9115805Z,2025-09-01T05:08:01.1257775Z,BUY-SELL,1,103.3005,103.4495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-375,ORD-360,ORD-375,2025-09-01T05:08:01.3392732Z,2025-09-01T05:08:01.5727766Z,BUY-SELL,1,103.6005,103.7495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-405,ORD-390,ORD-405,2025-09-01T05:08:01.7784252Z,2025-09-01T05:08:01.9842017Z,BUY-SELL,1,103.90050000000001,104.0495,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-435,ORD-420,ORD-435,2025-09-01T05:08:02.1958324Z,2025-09-01T05:08:02.4161361Z,BUY-SELL,1,104.2005,104.34949999999999,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-465,ORD-450,ORD-465,2025-09-01T05:08:02.6399124Z,2025-09-01T05:08:02.8868500Z,BUY-SELL,1,104.5005,104.6495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-495,ORD-480,ORD-495,2025-09-01T05:08:03.1173003Z,2025-09-01T05:08:03.3209663Z,BUY-SELL,1,104.8005,104.9495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-525,ORD-510,ORD-525,2025-09-01T05:08:03.5496499Z,2025-09-01T05:08:03.7551757Z,BUY-SELL,1,105.1005,105.2495,0.1490000000000009,0,harness,0.1490000000000009
T-ORD-555,ORD-540,ORD-555,2025-09-01T05:08:03.9772087Z,2025-09-01T05:08:04.1879870Z,BUY-SELL,1,105.40050000000001,105.5495,0.1489999999999867,0,harness,0.1489999999999867
T-ORD-585,ORD-570,ORD-585,2025-09-01T05:08:04.3929741Z,2025-09-01T05:08:04.5947492Z,BUY-SELL,1,105.7005,105.84949999999999,0.1489999999999867,0,harness,0.1489999999999867
