trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-09-01T05:05:14.2456411Z,2025-09-01T05:05:14.4800731Z,BUY-SELL,1,100.0005,100.1495,0.1490000000000009,0,reconstructed
R-2,ORD-30,ORD-45,2025-09-01T05:05:14.6917532Z,2025-09-01T05:05:14.9430820Z,BUY-SELL,1,100.3005,100.4495,0.1490000000000009,0,reconstructed
R-3,ORD-60,ORD-75,2025-09-01T05:05:15.1801497Z,2025-09-01T05:05:15.4255523Z,BUY-SELL,1,100.6005,100.7495,0.1490000000000009,0,reconstructed
R-4,ORD-90,ORD-105,2025-09-01T05:05:15.6680857Z,2025-09-01T05:05:15.9126194Z,BUY-SELL,1,100.90050000000001,101.0495,0.1489999999999867,0,reconstructed
R-5,ORD-120,ORD-135,2025-09-01T05:05:16.1237477Z,2025-09-01T05:05:16.3496137Z,BUY-SELL,1,101.2005,101.34949999999999,0.1489999999999867,0,reconstructed
R-6,ORD-150,ORD-165,2025-09-01T05:05:16.5431106Z,2025-09-01T05:05:16.7718133Z,BUY-SELL,1,101.5005,101.6495,0.1490000000000009,0,reconstructed
R-7,ORD-180,ORD-195,2025-09-01T05:05:16.9960485Z,2025-09-01T05:05:17.2217474Z,BUY-SELL,1,101.8005,101.9495,0.1490000000000009,0,reconstructed
R-8,ORD-210,ORD-225,2025-09-01T05:05:17.4531141Z,2025-09-01T05:05:17.6509163Z,BUY-SELL,1,102.1005,102.2495,0.1490000000000009,0,reconstructed
R-9,ORD-240,ORD-255,2025-09-01T05:05:17.8511834Z,2025-09-01T05:05:18.0957679Z,BUY-SELL,1,102.40050000000001,102.5495,0.1489999999999867,0,reconstructed
R-10,ORD-270,ORD-285,2025-09-01T05:05:18.3411436Z,2025-09-01T05:05:18.5882645Z,BUY-SELL,1,102.7005,102.84949999999999,0.1489999999999867,0,reconstructed
R-11,ORD-300,ORD-315,2025-09-01T05:05:18.8213262Z,2025-09-01T05:05:19.0528730Z,BUY-SELL,1,103.0005,103.1495,0.1490000000000009,0,reconstructed
R-12,ORD-330,ORD-345,2025-09-01T05:05:19.2583097Z,2025-09-01T05:05:19.4725701Z,BUY-SELL,1,103.3005,103.4495,0.1490000000000009,0,reconstructed
