trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T05:34:30.5815138Z,2025-08-24T05:34:30.8509500Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T05:34:31.1144397Z,2025-08-24T05:34:31.3669388Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T05:34:31.6808297Z,2025-08-24T05:34:31.9453657Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T05:34:32.2232899Z,2025-08-24T05:34:32.4738288Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T05:34:32.7406194Z,2025-08-24T05:34:32.9908691Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T05:34:33.2575113Z,2025-08-24T05:34:33.4812557Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T05:34:33.7673115Z,2025-08-24T05:34:34.0241437Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T05:34:34.3284332Z,2025-08-24T05:34:34.5954742Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T05:34:34.8635348Z,2025-08-24T05:34:35.1275182Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T05:34:35.4061954Z,2025-08-24T05:34:35.6756019Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T05:34:35.9331770Z,2025-08-24T05:34:36.2113550Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T05:34:36.4884312Z,2025-08-24T05:34:36.7730710Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T05:34:37.0578614Z,2025-08-24T05:34:37.3336798Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-24T05:34:37.6024127Z,2025-08-24T05:34:37.8613189Z,BUY-SELL,1,103.9,104.05,0.14999999999999147,0,reconstructed
R-15,ORD-420,ORD-465,2025-08-24T05:34:38.1478602Z,2025-08-24T05:34:38.9683835Z,BUY-SELL,1,104.2,104.65,0.45000000000000284,0,reconstructed
R-16,ORD-450,ORD-495,2025-08-24T05:34:38.6904536Z,2025-08-24T05:34:39.4641796Z,BUY-SELL,1,104.5,104.95,0.45000000000000284,0,reconstructed
R-17,ORD-480,ORD-525,2025-08-24T05:34:39.1986239Z,2025-08-24T05:34:40.0225434Z,BUY-SELL,1,104.8,105.25,0.45000000000000284,0,reconstructed
R-18,ORD-510,ORD-555,2025-08-24T05:34:39.7480567Z,2025-08-24T05:34:40.5785386Z,BUY-SELL,1,105.1,105.55,0.45000000000000284,0,reconstructed
R-19,ORD-540,ORD-585,2025-08-24T05:34:40.3043253Z,2025-08-24T05:34:41.1300293Z,BUY-SELL,1,105.4,105.85,0.44999999999998863,0,reconstructed
