trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T06:00:46.4704351Z,2025-08-24T06:00:46.7336088Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T06:00:46.9762548Z,2025-08-24T06:00:47.2230333Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T06:00:47.4655944Z,2025-08-24T06:00:47.7247815Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T06:00:47.9604498Z,2025-08-24T06:00:48.2134389Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T06:00:48.4656048Z,2025-08-24T06:00:48.7331192Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T06:00:48.9779129Z,2025-08-24T06:00:49.2116543Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T06:00:49.4427600Z,2025-08-24T06:00:49.6802581Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T06:00:49.9261636Z,2025-08-24T06:00:50.1845554Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T06:00:50.4321051Z,2025-08-24T06:00:50.6833430Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T06:00:50.9315327Z,2025-08-24T06:00:51.1827978Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T06:00:51.4485877Z,2025-08-24T06:00:51.6945169Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
