phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host
REQUEST,2025-08-23T02:31:51.3411317Z,1755916311341,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,REQUEST,,,100,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T02:31:51.3433128Z,1755916311343,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,ACK,,2,100,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T02:31:51.3440788Z,1755916311344,ORD-0,100,99.95,100.0005,,,1,1,0.0005000000000023874,filled,ORD-0,Buy,BUY,Market,FILL,filled,3,100,100.0005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T02:31:51.5741721Z,1755916311574,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,REQUEST,,,100.15,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T02:31:51.5744422Z,1755916311574,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,ACK,,0,100.15,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T02:31:51.5745706Z,1755916311574,ORD-15,100.15,,100.1495,,,1,1,-0.0005000000000023874,filled,ORD-15,Sell,SELL,Market,FILL,filled,0,100.15,100.1495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T02:31:51.7991852Z,1755916311799,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,REQUEST,,,100.3,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-23T02:31:51.7995727Z,1755916311799,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,ACK,,0,100.3,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-23T02:31:51.7997873Z,1755916311799,ORD-30,100.3,100.25,100.3005,,,1,1,0.0005000000000023874,filled,ORD-30,Buy,BUY,Market,FILL,filled,0,100.3,100.3005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-23T02:31:52.0811145Z,1755916312081,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,REQUEST,,,100.45,,1,,HARNESS,DESKTOP-584MV4B
