timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-20T08:15:36.2565619Z,2.1,13,9,9,4
2025-09-20T08:15:38.2451044Z,2.033333333333333,12,8,8,3
2025-09-20T08:15:40.2489823Z,2,12,8,8,3
2025-09-20T08:15:42.2599859Z,2.0166666666666666,12,8,8,4
2025-09-20T08:15:44.2521356Z,2.033333333333333,13,8,8,3
2025-09-20T08:15:46.2514064Z,1.9833333333333334,11,8,8,3
2025-09-20T08:15:48.2431029Z,2.65,16,11,11,5
2025-09-20T08:15:50.2447815Z,2.1666666666666665,13,8,8,3
2025-09-20T08:15:52.2476143Z,2.4166666666666665,15,10,10,4
2025-09-20T08:15:54.2480156Z,2.6166666666666667,16,11,10,4
2025-09-20T08:15:56.2564283Z,2.316666666666667,13,9,10,4
2025-09-20T08:15:58.2491152Z,2.0833333333333335,13,8,8,3
2025-09-20T08:16:00.2482291Z,2.1,13,9,8,4
2025-09-20T08:16:02.2583341Z,2.1,12,8,9,3
2025-09-20T08:16:04.2437028Z,1.9833333333333334,12,8,8,3
2025-09-20T08:16:06.2502382Z,1.9,11,7,7,3
2025-09-20T08:16:08.2468809Z,1.8833333333333333,12,8,8,3
2025-09-20T08:16:10.2650380Z,1.85,11,7,7,3
2025-09-20T08:16:12.2475508Z,1.8333333333333333,11,8,8,3
2025-09-20T08:16:14.2495050Z,1.8,11,7,7,3
2025-09-20T08:16:16.2578363Z,1.9,11,8,7,3
2025-09-20T08:16:18.2503281Z,1.8666666666666667,11,7,8,3
2025-09-20T08:16:20.2490975Z,1.8166666666666667,11,7,7,3
2025-09-20T08:16:22.2517857Z,2.0166666666666666,12,8,8,4
2025-09-20T08:16:24.2644230Z,1.9333333333333333,12,8,8,3
2025-09-20T08:16:26.2494278Z,1.8666666666666667,11,8,7,3
2025-09-20T08:16:28.2606658Z,1.9333333333333333,12,7,8,3
2025-09-20T08:16:30.2495621Z,1.8166666666666667,11,8,7,3
2025-09-20T08:16:32.2653471Z,1.8833333333333333,11,7,8,3
2025-09-20T08:16:34.2647694Z,1.9,11,8,8,3
2025-09-20T08:16:36.2493226Z,1.9333333333333333,12,7,7,3
2025-09-20T08:16:38.2502186Z,1.95,12,8,8,3
2025-09-20T08:16:40.2596161Z,1.9833333333333334,11,8,8,4
2025-09-20T08:16:42.2455940Z,1.9166666666666667,12,8,8,3
2025-09-20T08:16:44.2465327Z,2,12,8,8,3
2025-09-20T08:16:46.2487525Z,1.95,12,8,8,3
2025-09-20T08:16:48.2511997Z,1.8,10,7,7,3
2025-09-20T08:16:50.2478865Z,2.216666666666667,14,9,9,4
2025-09-20T08:16:52.2503353Z,1.95,11,7,7,3
2025-09-20T08:16:54.2492374Z,2.2333333333333334,14,9,9,3
2025-09-20T08:16:56.2513768Z,2.0833333333333335,12,9,9,4
2025-09-20T08:16:58.2362079Z,2.216666666666667,14,9,9,3
2025-09-20T08:17:00.2459609Z,2.316666666666667,14,9,9,4
2025-09-20T08:17:02.2366828Z,2.316666666666667,13,9,9,4
2025-09-20T08:17:04.2381823Z,2.316666666666667,14,9,9,4
2025-09-20T08:17:06.2383029Z,2.6666666666666665,16,11,11,4
2025-09-20T08:17:08.2647152Z,2.5166666666666666,15,10,10,4
2025-09-20T08:17:10.2475363Z,1.9833333333333334,12,8,8,3
2025-09-20T08:17:12.2651905Z,1.85,11,7,7,3
2025-09-20T08:17:14.2498236Z,1.8833333333333333,12,8,8,3
2025-09-20T08:17:16.2653041Z,2.283333333333333,13,9,9,4
2025-09-20T08:17:18.2569097Z,1.7666666666666666,11,7,7,3
2025-09-20T08:17:20.2490394Z,1.8,11,7,7,3
2025-09-20T08:17:22.2536405Z,1.9166666666666667,11,8,8,3
2025-09-20T08:17:24.2403757Z,2.316666666666667,14,9,9,4
2025-09-20T08:17:26.2413548Z,2.466666666666667,15,10,10,4
2025-09-20T08:17:28.2356740Z,2.783333333333333,17,11,11,4
2025-09-20T08:17:30.2360331Z,2.0833333333333335,12,9,9,4
2025-09-20T08:17:32.2435480Z,2.033333333333333,12,8,8,3
2025-09-20T08:17:34.2391131Z,2.1166666666666667,13,8,8,3
2025-09-20T08:17:36.2382944Z,2.05,12,8,8,4
2025-09-20T08:17:38.2373633Z,2.0166666666666666,13,9,9,3
2025-09-20T08:17:40.2513152Z,1.9833333333333334,11,7,7,3
2025-09-20T08:17:42.2487914Z,1.8166666666666667,11,8,8,3
2025-09-20T08:17:44.2643276Z,1.9833333333333334,12,8,8,3
2025-09-20T08:17:46.2501686Z,1.8666666666666667,11,7,7,3
2025-09-20T08:17:48.2517709Z,1.9166666666666667,12,8,8,3
2025-09-20T08:17:50.2650560Z,1.8,11,7,7,3
2025-09-20T08:17:52.2502806Z,1.9166666666666667,11,8,8,3
2025-09-20T08:17:54.2560279Z,3.1333333333333333,19,12,12,6
2025-09-20T08:17:56.2506174Z,2.3833333333333333,14,10,10,3
2025-09-20T08:17:58.2467577Z,2.033333333333333,13,8,8,4
2025-09-20T08:18:00.2539865Z,2.15,12,8,8,3
2025-09-20T08:18:02.2464077Z,2.3,14,10,10,4
2025-09-20T08:18:04.2473718Z,2.25,14,9,9,4
2025-09-20T08:18:06.2543023Z,2.1333333333333333,13,8,8,3
2025-09-20T08:18:08.2414431Z,2.066666666666667,12,8,8,3
2025-09-20T08:18:10.2444627Z,2.5166666666666666,15,11,10,4
2025-09-20T08:18:12.2513877Z,2.1,13,8,9,4
2025-09-20T08:18:14.2422620Z,2.1,12,8,8,3
2025-09-20T08:18:16.2473154Z,2.1,13,9,9,4
2025-09-20T08:18:18.2473889Z,2.1,12,8,8,3
2025-09-20T08:18:20.2475056Z,2.1166666666666667,13,9,9,3
2025-09-20T08:18:22.2618220Z,2.1,13,8,8,4
2025-09-20T08:18:24.2378255Z,2.066666666666667,12,8,8,3
2025-09-20T08:18:26.2486102Z,2.0833333333333335,13,9,9,4
2025-09-20T08:18:28.2536002Z,2.0833333333333335,12,8,8,3
2025-09-20T08:18:30.2472038Z,2.066666666666667,13,8,8,3
2025-09-20T08:18:32.2541369Z,2.0833333333333335,12,9,8,4
2025-09-20T08:18:34.2478032Z,2.066666666666667,12,8,9,3
2025-09-20T08:18:36.2522922Z,2.0833333333333335,13,8,8,3
2025-09-20T08:18:38.2471611Z,2.066666666666667,12,8,8,4
2025-09-20T08:18:40.2560326Z,2.1,13,9,9,3
2025-09-20T08:18:42.2475231Z,2.05,12,8,8,4
2025-09-20T08:18:44.2568566Z,2.1166666666666667,13,8,8,3
2025-09-20T08:18:46.2446600Z,2.0833333333333335,12,9,9,3
2025-09-20T08:18:48.2385606Z,2.0833333333333335,13,8,8,4
2025-09-20T08:18:50.2478894Z,2.1,13,9,8,3
2025-09-20T08:18:52.2550232Z,2.0833333333333335,12,8,9,4
2025-09-20T08:18:54.2432208Z,2.066666666666667,12,8,8,3
2025-09-20T08:18:56.2513027Z,2.0833333333333335,13,8,8,3
2025-09-20T08:18:58.2455112Z,2.066666666666667,12,9,9,4
2025-09-20T08:19:00.2377645Z,2.066666666666667,13,8,8,3
2025-09-20T08:19:02.2371608Z,2.0833333333333335,12,8,8,3
2025-09-20T08:19:04.2448720Z,2.1,13,9,9,4
2025-09-20T08:19:06.2399398Z,2.066666666666667,12,8,8,3
2025-09-20T08:19:08.2391371Z,2.1,13,8,8,3
2025-09-20T08:19:10.2465457Z,2.0833333333333335,12,9,9,4
2025-09-20T08:19:12.2511359Z,2.0833333333333335,13,8,8,3
2025-09-20T08:19:14.2591690Z,2.1,12,8,8,4
2025-09-20T08:19:16.2482218Z,2.066666666666667,13,9,9,3
2025-09-20T08:19:18.2559334Z,2.0833333333333335,12,8,8,3
2025-09-20T08:19:20.2465502Z,2.066666666666667,13,8,8,4
2025-09-20T08:19:22.2529039Z,2.0833333333333335,12,9,9,3
2025-09-20T08:19:24.2462987Z,2.0833333333333335,13,8,8,3
2025-09-20T08:19:26.2382309Z,2.0833333333333335,12,8,8,4
2025-09-20T08:19:28.2414253Z,2.1,13,9,9,3
2025-09-20T08:19:30.2443660Z,2.1,12,8,8,4
2025-09-20T08:19:32.2499904Z,2.0833333333333335,13,8,8,3
2025-09-20T08:19:34.2562004Z,2.0833333333333335,12,9,9,3
2025-09-20T08:19:36.2378200Z,2.05,13,8,8,4
2025-09-20T08:19:38.2440253Z,2.0833333333333335,12,8,8,3
2025-09-20T08:19:40.2373132Z,2.066666666666667,13,9,9,3
2025-09-20T08:19:42.2443534Z,2.0833333333333335,12,8,8,4
2025-09-20T08:19:44.2356781Z,2.066666666666667,13,8,8,3
2025-09-20T08:19:46.2397950Z,2.0833333333333335,12,9,8,4
2025-09-20T08:19:48.2423016Z,2.1,13,8,9,3
2025-09-20T08:19:50.2358271Z,2.066666666666667,12,8,8,3
2025-09-20T08:19:52.2437534Z,2.0833333333333335,13,9,8,4
2025-09-20T08:19:54.2516702Z,2.0833333333333335,12,8,9,3
2025-09-20T08:19:56.2395580Z,2.066666666666667,12,8,8,3
2025-09-20T08:19:58.2480655Z,2.066666666666667,13,8,8,4
2025-09-20T08:20:00.2593244Z,2.0833333333333335,12,9,9,3
2025-09-20T08:20:02.2388747Z,2.066666666666667,13,8,8,4
2025-09-20T08:20:04.2422244Z,2.0833333333333335,12,8,8,3
2025-09-20T08:20:06.2489925Z,2.0833333333333335,13,9,9,3
2025-09-20T08:20:08.2582508Z,2.0833333333333335,12,8,8,4
2025-09-20T08:20:10.2493757Z,2.066666666666667,13,8,8,3
2025-09-20T08:20:12.2583578Z,2.1,12,9,9,3
2025-09-20T08:20:14.2499226Z,2.066666666666667,13,8,8,4
2025-09-20T08:20:16.2613249Z,2.0833333333333335,12,8,8,3
