trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-30T04:05:21.6611567Z,2025-08-30T04:05:21.9103473Z,BUY-SELL,1,100.0005,100.1495,0.1490000000000009,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-30T04:05:22.1545810Z,2025-08-30T04:05:22.3851030Z,BUY-SELL,1,100.3005,100.4495,0.1490000000000009,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-30T04:05:22.6289611Z,2025-08-30T04:05:22.8802323Z,BUY-SELL,1,100.6005,100.7495,0.1490000000000009,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-30T04:05:23.1266139Z,2025-08-30T04:05:23.3804217Z,BUY-SELL,1,100.90050000000001,101.0495,0.1489999999999867,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-30T04:05:23.6362780Z,2025-08-30T04:05:23.8925990Z,BUY-SELL,1,101.2005,101.34949999999999,0.1489999999999867,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-30T04:05:24.1315523Z,2025-08-30T04:05:24.3829553Z,BUY-SELL,1,101.5005,101.6495,0.1490000000000009,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-30T04:05:24.6289549Z,2025-08-30T04:05:24.8714854Z,BUY-SELL,1,101.8005,101.9495,0.1490000000000009,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-30T04:05:25.1160988Z,2025-08-30T04:05:25.3671628Z,BUY-SELL,1,102.1005,102.2495,0.1490000000000009,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-30T04:05:25.6084025Z,2025-08-30T04:05:25.8523633Z,BUY-SELL,1,102.40050000000001,102.5495,0.1489999999999867,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-30T04:05:26.1056511Z,2025-08-30T04:05:26.3523442Z,BUY-SELL,1,102.7005,102.84949999999999,0.1489999999999867,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-30T04:05:26.6012798Z,2025-08-30T04:05:26.8351324Z,BUY-SELL,1,103.0005,103.1495,0.1490000000000009,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-30T04:05:27.0883488Z,2025-08-30T04:05:27.3190956Z,BUY-SELL,1,103.3005,103.4495,0.1490000000000009,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-30T04:05:27.5687937Z,2025-08-30T04:05:27.8019269Z,BUY-SELL,1,103.6005,103.7495,0.1490000000000009,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-30T04:05:28.0503111Z,2025-08-30T04:05:28.2892262Z,BUY-SELL,1,103.90050000000001,104.0495,0.1489999999999867,0,reconstructed
R-15,ORD-420,ORD-435,2025-08-30T04:05:28.5377325Z,2025-08-30T04:05:28.7745187Z,BUY-SELL,1,104.2005,104.34949999999999,0.1489999999999867,0,reconstructed
R-16,ORD-450,ORD-465,2025-08-30T04:05:29.0179466Z,2025-08-30T04:05:29.2611132Z,BUY-SELL,1,104.5005,104.6495,0.1490000000000009,0,reconstructed
R-17,ORD-480,ORD-495,2025-08-30T04:05:29.5048535Z,2025-08-30T04:05:29.7364268Z,BUY-SELL,1,104.8005,104.9495,0.1490000000000009,0,reconstructed
R-18,ORD-510,ORD-525,2025-08-30T04:05:29.9871968Z,2025-08-30T04:05:30.2320007Z,BUY-SELL,1,105.1005,105.2495,0.1490000000000009,0,reconstructed
R-19,ORD-540,ORD-555,2025-08-30T04:05:30.4835466Z,2025-08-30T04:05:30.7330247Z,BUY-SELL,1,105.40050000000001,105.5495,0.1489999999999867,0,reconstructed
R-20,ORD-570,ORD-585,2025-08-30T04:05:30.9875760Z,2025-08-30T04:05:31.2316009Z,BUY-SELL,1,105.7005,105.84949999999999,0.1489999999999867,0,reconstructed
R-21,ORD-600,ORD-615,2025-08-30T04:05:31.4718556Z,2025-08-30T04:05:31.7120606Z,BUY-SELL,1,106.0005,106.1495,0.1490000000000009,0,reconstructed
R-22,ORD-630,ORD-645,2025-08-30T04:05:31.9699682Z,2025-08-30T04:05:32.2156525Z,BUY-SELL,1,106.3005,106.4495,0.1490000000000009,0,reconstructed
R-23,ORD-660,ORD-675,2025-08-30T04:05:32.4696782Z,2025-08-30T04:05:32.6936317Z,BUY-SELL,1,106.6005,106.7495,0.1490000000000009,0,reconstructed
R-24,ORD-690,ORD-705,2025-08-30T04:05:32.9447286Z,2025-08-30T04:05:33.1900257Z,BUY-SELL,1,106.90050000000001,107.0495,0.1489999999999867,0,reconstructed
R-25,ORD-720,ORD-735,2025-08-30T04:05:33.4467797Z,2025-08-30T04:05:33.6981794Z,BUY-SELL,1,107.2005,107.34949999999999,0.1489999999999867,0,reconstructed
R-26,ORD-750,ORD-765,2025-08-30T04:05:33.9498637Z,2025-08-30T04:05:34.1956929Z,BUY-SELL,1,107.5005,107.6495,0.1490000000000009,0,reconstructed
R-27,ORD-780,ORD-795,2025-08-30T04:05:34.4490597Z,2025-08-30T04:05:34.6802968Z,BUY-SELL,1,107.8005,107.9495,0.1490000000000009,0,reconstructed
R-28,ORD-810,ORD-825,2025-08-30T04:05:34.9389192Z,2025-08-30T04:05:35.1710521Z,BUY-SELL,1,108.1005,108.2495,0.1490000000000009,0,reconstructed
R-29,ORD-840,ORD-855,2025-08-30T04:05:35.4219652Z,2025-08-30T04:05:35.6732847Z,BUY-SELL,1,108.40050000000001,108.5495,0.1489999999999867,0,reconstructed
R-30,ORD-870,ORD-885,2025-08-30T04:05:35.9143590Z,2025-08-30T04:05:36.1554010Z,BUY-SELL,1,108.7005,108.84949999999999,0.1489999999999867,0,reconstructed
R-31,ORD-900,ORD-915,2025-08-30T04:05:36.3927009Z,2025-08-30T04:05:36.6354397Z,BUY-SELL,1,109.0005,109.1495,0.1490000000000009,0,reconstructed
R-32,ORD-930,ORD-945,2025-08-30T04:05:36.8817349Z,2025-08-30T04:05:37.1312500Z,BUY-SELL,1,109.3005,109.4495,0.1490000000000009,0,reconstructed
R-33,ORD-960,ORD-975,2025-08-30T04:05:37.3765597Z,2025-08-30T04:05:37.6250982Z,BUY-SELL,1,109.6005,109.7495,0.1490000000000009,0,reconstructed
