timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-08-30T03:41:37.2329646Z,2.05,13,9,9,4
2025-08-30T03:41:39.2302749Z,2.05,12,8,8,3
2025-08-30T03:41:41.2229370Z,2.033333333333333,12,8,8,3
2025-08-30T03:41:43.2214719Z,2.033333333333333,12,8,8,4
2025-08-30T03:41:45.2204283Z,2.033333333333333,13,8,8,3
2025-08-30T03:41:47.2270349Z,2.033333333333333,12,8,8,3
2025-08-30T03:41:49.2230297Z,2.0166666666666666,12,8,8,4
2025-08-30T03:41:51.2248709Z,2.0166666666666666,12,9,8,3
2025-08-30T03:41:53.2232755Z,2.033333333333333,12,8,9,3
2025-08-30T03:41:55.2240925Z,2.05,13,8,8,3
2025-08-30T03:41:57.2288192Z,2.0833333333333335,12,8,8,4
2025-08-30T03:41:59.2254942Z,2,12,8,8,3
2025-08-30T03:42:01.2197627Z,2.0833333333333335,13,9,8,3
2025-08-30T03:42:03.2210575Z,2.05,12,8,9,4
2025-08-30T03:42:05.2195866Z,2.0833333333333335,12,8,8,3
2025-08-30T03:42:07.2285915Z,2.3,14,9,9,4
2025-08-30T03:42:09.2189768Z,2.15,13,9,9,3
2025-08-30T03:42:11.2195231Z,2.216666666666667,13,9,9,4
2025-08-30T03:42:13.2217473Z,2.283333333333333,14,9,9,4
2025-08-30T03:42:15.2212634Z,2.216666666666667,13,9,9,3
2025-08-30T03:42:17.2164109Z,2.0166666666666666,12,8,8,4
2025-08-30T03:42:19.2256484Z,2.0833333333333335,13,8,8,3
2025-08-30T03:42:21.2266296Z,2.1333333333333333,13,9,9,3
2025-08-30T03:42:23.2240192Z,2.0833333333333335,12,8,8,4
2025-08-30T03:42:25.2233390Z,2.1166666666666667,13,8,8,3
2025-08-30T03:42:27.2304248Z,2.0833333333333335,12,9,9,4
2025-08-30T03:42:29.2155295Z,2.0166666666666666,13,8,8,3
2025-08-30T03:42:31.2259333Z,2.15,12,8,8,3
2025-08-30T03:42:33.2187699Z,2.05,13,9,9,4
2025-08-30T03:42:35.2193182Z,2.033333333333333,12,8,8,3
2025-08-30T03:42:37.2218333Z,2.05,12,8,8,3
2025-08-30T03:42:39.2221879Z,2.066666666666667,13,8,8,4
2025-08-30T03:42:41.2258410Z,2.066666666666667,12,9,8,3
2025-08-30T03:42:43.2254206Z,2.1166666666666667,13,8,9,3
2025-08-30T03:42:45.2276030Z,2.0833333333333335,12,8,8,4
2025-08-30T03:42:47.2213073Z,2.066666666666667,13,9,9,3
2025-08-30T03:42:49.2295661Z,2.1166666666666667,12,8,8,4
2025-08-30T03:42:51.2272481Z,2.05,13,8,8,3
2025-08-30T03:42:53.2280673Z,2.1,12,9,9,3
2025-08-30T03:42:55.2179029Z,2.05,13,8,8,4
2025-08-30T03:42:57.2318195Z,2.1166666666666667,12,8,8,3
2025-08-30T03:42:59.2195774Z,2.033333333333333,12,8,8,3
2025-08-30T03:43:01.2386424Z,2.05,13,9,9,4
2025-08-30T03:43:03.2319401Z,2.033333333333333,12,8,8,3
2025-08-30T03:43:05.2364219Z,2.05,12,8,8,3
2025-08-30T03:43:07.2273692Z,1.9833333333333334,12,8,8,4
2025-08-30T03:43:09.2193224Z,2.05,12,8,8,3
2025-08-30T03:43:11.2257837Z,2.066666666666667,13,8,8,3
2025-08-30T03:43:13.2190713Z,2.283333333333333,14,10,10,4
2025-08-30T03:43:15.2290065Z,2.466666666666667,14,9,9,4
2025-08-30T03:43:17.2290928Z,2.3,14,10,10,4
2025-08-30T03:43:19.2188875Z,2.2333333333333334,14,9,8,3
2025-08-30T03:43:21.2304494Z,2.0833333333333335,12,8,9,4
2025-08-30T03:43:23.2189571Z,2.1333333333333333,13,8,8,3
2025-08-30T03:43:25.2201066Z,1.9833333333333334,12,8,8,3
2025-08-30T03:43:27.2248579Z,2,12,8,8,4
2025-08-30T03:43:29.2307558Z,2.1333333333333333,13,9,9,3
2025-08-30T03:43:31.2207426Z,2.0833333333333335,12,8,8,3
