trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T06:05:52.0596592Z,2025-08-24T06:05:52.3146723Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T06:05:52.5515600Z,2025-08-24T06:05:52.7953521Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T06:05:53.0306151Z,2025-08-24T06:05:53.2774884Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T06:05:53.5151539Z,2025-08-24T06:05:53.7418971Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T06:05:53.9413437Z,2025-08-24T06:05:54.1895782Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T06:05:54.4359656Z,2025-08-24T06:05:54.6971316Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T06:05:54.9512651Z,2025-08-24T06:05:55.2058935Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T06:05:55.4357013Z,2025-08-24T06:05:55.6774003Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T06:05:55.9101018Z,2025-08-24T06:05:56.1441522Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T06:05:56.3879553Z,2025-08-24T06:05:56.6260357Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T06:05:56.8519546Z,2025-08-24T06:05:57.0822471Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T06:05:57.3392828Z,2025-08-24T06:05:57.5910600Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T06:05:57.8399672Z,2025-08-24T06:05:58.0773623Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-24T06:05:58.3092833Z,2025-08-24T06:05:58.5606147Z,BUY-SELL,1,103.9,104.05,0.14999999999999147,0,reconstructed
R-15,ORD-420,ORD-465,2025-08-24T06:05:58.8110694Z,2025-08-24T06:05:59.5357244Z,BUY-SELL,1,104.2,104.65,0.45000000000000284,0,reconstructed
R-16,ORD-450,ORD-495,2025-08-24T06:05:59.2993151Z,2025-08-24T06:06:00.0289209Z,BUY-SELL,1,104.5,104.95,0.45000000000000284,0,reconstructed
R-17,ORD-480,ORD-525,2025-08-24T06:05:59.7868296Z,2025-08-24T06:06:00.5157738Z,BUY-SELL,1,104.8,105.25,0.45000000000000284,0,reconstructed
R-18,ORD-510,ORD-555,2025-08-24T06:06:00.2686567Z,2025-08-24T06:06:00.9975864Z,BUY-SELL,1,105.1,105.55,0.45000000000000284,0,reconstructed
R-19,ORD-540,ORD-585,2025-08-24T06:06:00.7550954Z,2025-08-24T06:06:01.4851067Z,BUY-SELL,1,105.4,105.85,0.44999999999998863,0,reconstructed
R-20,ORD-570,ORD-615,2025-08-24T06:06:01.2461786Z,2025-08-24T06:06:01.9674114Z,BUY-SELL,1,105.7,106.15,0.45000000000000284,0,reconstructed
R-21,ORD-600,ORD-645,2025-08-24T06:06:01.7281429Z,2025-08-24T06:06:02.4498563Z,BUY-SELL,1,106,106.45,0.45000000000000284,0,reconstructed
R-22,ORD-630,ORD-675,2025-08-24T06:06:02.2210424Z,2025-08-24T06:06:02.9371725Z,BUY-SELL,1,106.3,106.75,0.45000000000000284,0,reconstructed
R-23,ORD-660,ORD-705,2025-08-24T06:06:02.7060305Z,2025-08-24T06:06:03.4476971Z,BUY-SELL,1,106.6,107.05,0.45000000000000284,0,reconstructed
R-24,ORD-690,ORD-735,2025-08-24T06:06:03.1934142Z,2025-08-24T06:06:03.9137983Z,BUY-SELL,1,106.9,107.35,0.44999999999998863,0,reconstructed
R-25,ORD-720,ORD-765,2025-08-24T06:06:03.6934455Z,2025-08-24T06:06:04.3767363Z,BUY-SELL,1,107.2,107.65,0.45000000000000284,0,reconstructed
R-26,ORD-750,ORD-795,2025-08-24T06:06:04.1475463Z,2025-08-24T06:06:04.8614526Z,BUY-SELL,1,107.5,107.95,0.45000000000000284,0,reconstructed
R-27,ORD-780,ORD-825,2025-08-24T06:06:04.6120397Z,2025-08-24T06:06:05.3183517Z,BUY-SELL,1,107.8,108.25,0.45000000000000284,0,reconstructed
R-28,ORD-810,ORD-855,2025-08-24T06:06:05.0838881Z,2025-08-24T06:06:05.7961068Z,BUY-SELL,1,108.1,108.55,0.45000000000000284,0,reconstructed
R-29,ORD-840,ORD-885,2025-08-24T06:06:05.5644914Z,2025-08-24T06:06:06.2807656Z,BUY-SELL,1,108.4,108.85,0.44999999999998863,0,reconstructed
R-30,ORD-870,ORD-915,2025-08-24T06:06:06.0489831Z,2025-08-24T06:06:06.7461857Z,BUY-SELL,1,108.7,109.15,0.45000000000000284,0,reconstructed
R-31,ORD-900,ORD-945,2025-08-24T06:06:06.5317908Z,2025-08-24T06:06:07.2198668Z,BUY-SELL,1,109,109.45,0.45000000000000284,0,reconstructed
R-32,ORD-930,ORD-975,2025-08-24T06:06:06.9867852Z,2025-08-24T06:06:07.7130717Z,BUY-SELL,1,109.3,109.75,0.45000000000000284,0,reconstructed
R-33,ORD-960,ORD-1005,2025-08-24T06:06:07.4684714Z,2025-08-24T06:06:08.1851257Z,BUY-SELL,1,109.6,110.05,0.45000000000000284,0,reconstructed
R-34,ORD-990,ORD-1035,2025-08-24T06:06:07.9564989Z,2025-08-24T06:06:08.6529031Z,BUY-SELL,1,109.9,110.35,0.44999999999998863,0,reconstructed
R-35,ORD-1020,ORD-1065,2025-08-24T06:06:08.4238021Z,2025-08-24T06:06:09.1364920Z,BUY-SELL,1,110.2,110.65,0.45000000000000284,0,reconstructed
R-36,ORD-1050,ORD-1095,2025-08-24T06:06:08.8810644Z,2025-08-24T06:06:09.6154797Z,BUY-SELL,1,110.5,110.95,0.45000000000000284,0,reconstructed
R-37,ORD-1080,ORD-1125,2025-08-24T06:06:09.3874150Z,2025-08-24T06:06:10.0972607Z,BUY-SELL,1,110.8,111.25,0.45000000000000284,0,reconstructed
R-38,ORD-1110,ORD-1155,2025-08-24T06:06:09.8509908Z,2025-08-24T06:06:10.5722561Z,BUY-SELL,1,111.1,111.55,0.45000000000000284,0,reconstructed
R-39,ORD-1140,ORD-1185,2025-08-24T06:06:10.3456264Z,2025-08-24T06:06:11.0668079Z,BUY-SELL,1,111.4,111.85,0.44999999999998863,0,reconstructed
R-40,ORD-1170,ORD-1245,2025-08-24T06:06:10.8240962Z,2025-08-24T06:06:12.0388694Z,BUY-SELL,1,111.7,112.45,0.75,0,reconstructed
R-41,ORD-1230,ORD-1275,2025-08-24T06:06:11.7988527Z,2025-08-24T06:06:12.5265429Z,BUY-SELL,1,112.3,112.75,0.45000000000000284,0,reconstructed
R-42,ORD-1260,ORD-1305,2025-08-24T06:06:12.2849854Z,2025-08-24T06:06:13.0155124Z,BUY-SELL,1,112.6,113.05,0.45000000000000284,0,reconstructed
R-43,ORD-1290,ORD-1335,2025-08-24T06:06:12.7899637Z,2025-08-24T06:06:13.5060756Z,BUY-SELL,1,112.9,113.35,0.44999999999998863,0,reconstructed
R-44,ORD-1320,ORD-1365,2025-08-24T06:06:13.2647649Z,2025-08-24T06:06:14.0020323Z,BUY-SELL,1,113.2,113.65,0.45000000000000284,0,reconstructed
R-45,ORD-1350,ORD-1425,2025-08-24T06:06:13.7723985Z,2025-08-24T06:06:14.9608157Z,BUY-SELL,1,113.5,114.25,0.75,0,reconstructed
R-46,ORD-1380,ORD-1455,2025-08-24T06:06:14.2421532Z,2025-08-24T06:06:15.4480149Z,BUY-SELL,1,113.8,114.55,0.75,0,reconstructed
R-47,ORD-1410,ORD-1485,2025-08-24T06:06:14.7380005Z,2025-08-24T06:06:15.9253655Z,BUY-SELL,1,114.1,114.85,0.75,0,reconstructed
R-48,ORD-1440,ORD-1515,2025-08-24T06:06:15.2064909Z,2025-08-24T06:06:16.3974492Z,BUY-SELL,1,114.4,115.15,0.75,0,reconstructed
R-49,ORD-1500,ORD-1545,2025-08-24T06:06:16.1676231Z,2025-08-24T06:06:16.8796869Z,BUY-SELL,1,115,115.45,0.45000000000000284,0,reconstructed
R-50,ORD-1530,ORD-1575,2025-08-24T06:06:16.6514280Z,2025-08-24T06:06:17.3569512Z,BUY-SELL,1,115.3,115.75,0.45000000000000284,0,reconstructed
R-51,ORD-1560,ORD-1605,2025-08-24T06:06:17.1208243Z,2025-08-24T06:06:17.8258689Z,BUY-SELL,1,115.6,116.05,0.45000000000000284,0,reconstructed
R-52,ORD-1590,ORD-1635,2025-08-24T06:06:17.6133748Z,2025-08-24T06:06:18.3055579Z,BUY-SELL,1,115.9,116.35,0.44999999999998863,0,reconstructed
R-53,ORD-1620,ORD-1695,2025-08-24T06:06:18.0666836Z,2025-08-24T06:06:19.2586619Z,BUY-SELL,1,116.2,116.95,0.75,0,reconstructed
R-54,ORD-1650,ORD-1725,2025-08-24T06:06:18.5473751Z,2025-08-24T06:06:19.7641724Z,BUY-SELL,1,116.5,117.25,0.75,0,reconstructed
R-55,ORD-1680,ORD-1785,2025-08-24T06:06:19.0152949Z,2025-08-24T06:06:20.7105550Z,BUY-SELL,1,116.8,117.85,1.0499999999999972,0,reconstructed
R-56,ORD-1710,ORD-1845,2025-08-24T06:06:19.5127462Z,2025-08-24T06:06:21.6756737Z,BUY-SELL,1,117.1,118.45,1.3500000000000085,0,reconstructed
R-57,ORD-1740,ORD-1875,2025-08-24T06:06:20.0101091Z,2025-08-24T06:06:22.1786814Z,BUY-SELL,1,117.4,118.75,1.3499999999999943,0,reconstructed
R-58,ORD-1770,ORD-1905,2025-08-24T06:06:20.4746022Z,2025-08-24T06:06:22.6734148Z,BUY-SELL,1,117.7,119.05,1.3499999999999943,0,reconstructed
R-59,ORD-1800,ORD-1935,2025-08-24T06:06:20.9432730Z,2025-08-24T06:06:23.1344354Z,BUY-SELL,1,118,119.35,1.3499999999999943,0,reconstructed
R-60,ORD-1830,ORD-1965,2025-08-24T06:06:21.4196861Z,2025-08-24T06:06:23.6125183Z,BUY-SELL,1,118.3,119.65,1.3500000000000085,0,reconstructed
R-61,ORD-1860,ORD-1995,2025-08-24T06:06:21.9268163Z,2025-08-24T06:06:24.1111697Z,BUY-SELL,1,118.6,119.95,1.3500000000000085,0,reconstructed
R-62,ORD-1890,ORD-2025,2025-08-24T06:06:22.4322082Z,2025-08-24T06:06:24.5940344Z,BUY-SELL,1,118.9,120.25,1.3499999999999943,0,reconstructed
R-63,ORD-1920,ORD-2055,2025-08-24T06:06:22.8967392Z,2025-08-24T06:06:25.0647950Z,BUY-SELL,1,119.2,120.55,1.3499999999999943,0,reconstructed
R-64,ORD-1980,ORD-2085,2025-08-24T06:06:23.8585365Z,2025-08-24T06:06:25.5468938Z,BUY-SELL,1,119.8,120.85,1.0499999999999972,0,reconstructed
R-65,ORD-2010,ORD-2115,2025-08-24T06:06:24.3586402Z,2025-08-24T06:06:26.0497952Z,BUY-SELL,1,120.1,121.15,1.0500000000000114,0,reconstructed
R-66,ORD-2040,ORD-2145,2025-08-24T06:06:24.8230148Z,2025-08-24T06:06:26.5453736Z,BUY-SELL,1,120.4,121.45,1.0499999999999972,0,reconstructed
R-67,ORD-2070,ORD-2175,2025-08-24T06:06:25.3006641Z,2025-08-24T06:06:27.0139258Z,BUY-SELL,1,120.7,121.75,1.0499999999999972,0,reconstructed
R-68,ORD-2100,ORD-2205,2025-08-24T06:06:25.8020915Z,2025-08-24T06:06:27.5165838Z,BUY-SELL,1,121,122.05,1.0499999999999972,0,reconstructed
R-69,ORD-2160,ORD-2235,2025-08-24T06:06:26.7866569Z,2025-08-24T06:06:28.0197830Z,BUY-SELL,1,121.6,122.35,0.75,0,reconstructed
R-70,ORD-2190,ORD-2265,2025-08-24T06:06:27.2642470Z,2025-08-24T06:06:28.5006163Z,BUY-SELL,1,121.9,122.65,0.75,0,reconstructed
R-71,ORD-2220,ORD-2325,2025-08-24T06:06:27.7694295Z,2025-08-24T06:06:29.5138844Z,BUY-SELL,1,122.2,123.25,1.0499999999999972,0,reconstructed
R-72,ORD-2250,ORD-2355,2025-08-24T06:06:28.2686476Z,2025-08-24T06:06:29.9872915Z,BUY-SELL,1,122.5,123.55,1.0499999999999972,0,reconstructed
R-73,ORD-2280,ORD-2385,2025-08-24T06:06:28.7597400Z,2025-08-24T06:06:30.4528326Z,BUY-SELL,1,122.8,123.85,1.0499999999999972,0,reconstructed
R-74,ORD-2340,ORD-2415,2025-08-24T06:06:29.7452185Z,2025-08-24T06:06:30.9214312Z,BUY-SELL,1,123.4,124.15,0.75,0,reconstructed
R-75,ORD-2370,ORD-2445,2025-08-24T06:06:30.2274454Z,2025-08-24T06:06:31.3735457Z,BUY-SELL,1,123.7,124.45,0.75,0,reconstructed
R-76,ORD-2400,ORD-2475,2025-08-24T06:06:30.6926996Z,2025-08-24T06:06:31.8576858Z,BUY-SELL,1,124,124.75,0.75,0,reconstructed
R-77,ORD-2430,ORD-2505,2025-08-24T06:06:31.1514933Z,2025-08-24T06:06:32.3425803Z,BUY-SELL,1,124.3,125.05,0.75,0,reconstructed
R-78,ORD-2460,ORD-2565,2025-08-24T06:06:31.6205722Z,2025-08-24T06:06:33.3450020Z,BUY-SELL,1,124.6,125.65,1.0500000000000114,0,reconstructed
R-79,ORD-2490,ORD-2595,2025-08-24T06:06:32.1012697Z,2025-08-24T06:06:33.8323142Z,BUY-SELL,1,124.9,125.95,1.0499999999999972,0,reconstructed
R-80,ORD-2520,ORD-2625,2025-08-24T06:06:32.5990072Z,2025-08-24T06:06:34.3109636Z,BUY-SELL,1,125.2,126.25,1.0499999999999972,0,reconstructed
R-81,ORD-2550,ORD-2655,2025-08-24T06:06:33.1038644Z,2025-08-24T06:06:34.8017386Z,BUY-SELL,1,125.5,126.55,1.0499999999999972,0,reconstructed
R-82,ORD-2610,ORD-2685,2025-08-24T06:06:34.0860611Z,2025-08-24T06:06:35.2920402Z,BUY-SELL,1,126.1,126.85,0.75,0,reconstructed
R-83,ORD-2640,ORD-2715,2025-08-24T06:06:34.5518064Z,2025-08-24T06:06:35.8019116Z,BUY-SELL,1,126.4,127.15,0.75,0,reconstructed
R-84,ORD-2700,ORD-2745,2025-08-24T06:06:35.5483666Z,2025-08-24T06:06:36.3000724Z,BUY-SELL,1,127,127.45,0.45000000000000284,0,reconstructed
