timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-09-01T05:17:23.5579614Z,2.0833333333333335,13,9,9,4
2025-09-01T05:17:25.5577959Z,2.3333333333333335,14,9,9,4
2025-09-01T05:17:27.5598776Z,2.3,14,9,9,3
2025-09-01T05:17:29.5582954Z,2.35,14,10,10,4
2025-09-01T05:17:31.5643551Z,2.2666666666666666,13,9,9,4
2025-09-01T05:17:33.5693280Z,2.35,15,9,9,4
2025-09-01T05:17:35.5604169Z,2.3,13,9,9,3
2025-09-01T05:17:37.5640264Z,2.3833333333333333,15,10,10,4
2025-09-01T05:17:39.5611629Z,2.3333333333333335,14,9,9,4
2025-09-01T05:17:41.5636173Z,2.2333333333333334,13,9,9,4
2025-09-01T05:17:43.5731003Z,2.3,14,9,9,3
2025-09-01T05:17:45.5619006Z,2.2333333333333334,13,9,9,4
2025-09-01T05:17:47.5655094Z,2.3666666666666667,14,10,10,4
2025-09-01T05:17:49.5642743Z,2.283333333333333,14,9,9,4
2025-09-01T05:17:51.5624617Z,2.35,14,9,9,3
2025-09-01T05:17:53.5678544Z,2.3333333333333335,14,10,10,4
2025-09-01T05:17:55.5578711Z,2.35,14,9,9,4
2025-09-01T05:17:57.5576449Z,2.2666666666666666,14,9,9,4
2025-09-01T05:17:59.5560489Z,2.3,14,9,9,3
2025-09-01T05:18:01.5605910Z,2.283333333333333,13,9,9,4
2025-09-01T05:18:03.5708725Z,2.216666666666667,14,9,9,4
2025-09-01T05:18:05.5651508Z,2.183333333333333,13,9,9,3
2025-09-01T05:18:07.5636630Z,2.3333333333333335,14,9,9,4
2025-09-01T05:18:09.5753951Z,2.2666666666666666,13,9,9,4
2025-09-01T05:18:11.5604229Z,2.183333333333333,14,9,9,3
2025-09-01T05:18:13.5633383Z,2.216666666666667,13,9,9,4
2025-09-01T05:18:15.5717914Z,2.2333333333333334,13,9,9,3
2025-09-01T05:18:17.5586406Z,2.183333333333333,13,9,9,4
2025-09-01T05:18:19.5520001Z,2.25,14,9,9,4
2025-09-01T05:18:21.5561230Z,2.2666666666666666,13,9,9,3
2025-09-01T05:18:23.5644877Z,2.183333333333333,14,9,9,4
2025-09-01T05:18:25.5682954Z,2.25,13,9,8,3
2025-09-01T05:18:27.5583856Z,2.3833333333333333,14,9,10,4
2025-09-01T05:18:29.5622406Z,2.3,14,9,9,4
2025-09-01T05:18:31.5606863Z,2.2,13,9,9,4
2025-09-01T05:18:33.5655347Z,2.2,14,9,9,3
2025-09-01T05:18:35.5705719Z,2.2666666666666666,13,9,9,4
2025-09-01T05:18:37.5568614Z,2.2666666666666666,14,9,9,4
2025-09-01T05:18:39.5617170Z,2.3,14,9,9,3
2025-09-01T05:18:41.5742359Z,2.25,13,9,9,4
2025-09-01T05:18:43.5605187Z,2.2333333333333334,13,9,9,4
2025-09-01T05:18:45.5631466Z,2.35,15,10,9,3
2025-09-01T05:18:47.5673329Z,2.183333333333333,13,8,9,4
2025-09-01T05:18:49.5534215Z,2.25,13,9,9,4
2025-09-01T05:18:51.5531462Z,2.283333333333333,14,9,9,3
2025-09-01T05:18:53.5602906Z,2.183333333333333,13,9,9,4
2025-09-01T05:18:55.5565813Z,2.15,13,9,9,3
2025-09-01T05:18:57.5592857Z,2.2333333333333334,13,9,9,4
2025-09-01T05:18:59.5630202Z,2.3333333333333335,14,9,9,4
2025-09-01T05:19:01.5658324Z,2.316666666666667,14,9,9,3
2025-09-01T05:19:03.5700485Z,2.283333333333333,14,9,9,4
2025-09-01T05:19:05.5537254Z,2.283333333333333,14,10,9,4
2025-09-01T05:19:07.5590490Z,2.25,13,9,9,3
2025-09-01T05:19:09.5578873Z,2.2333333333333334,13,8,9,4
2025-09-01T05:19:11.5577152Z,2.216666666666667,14,9,9,4
2025-09-01T05:19:13.5535323Z,2.1333333333333333,13,9,9,3
2025-09-01T05:19:15.5620304Z,2.15,12,8,8,4
2025-09-01T05:19:17.5701283Z,2.216666666666667,14,9,9,3
