phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host
REQUEST,2025-08-22T12:06:53.4877972Z,1755864413487,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,REQUEST,,,100,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-22T12:06:53.4902050Z,1755864413490,ORD-0,100,99.95,,,,1,,,,ORD-0,Buy,BUY,Market,ACK,,3,100,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-22T12:06:53.4911766Z,1755864413491,ORD-0,100,99.95,100.0005,,,1,1,0.0005000000000023874,filled,ORD-0,Buy,BUY,Market,FILL,filled,4,100,100.0005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-22T12:06:53.5773025Z,1755864413577,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,REQUEST,,,100.15,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-22T12:06:53.5778152Z,1755864413577,ORD-15,100.15,,,,,1,,,,ORD-15,Sell,SELL,Market,ACK,,0,100.15,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-22T12:06:53.5779938Z,1755864413577,ORD-15,100.15,,100.1495,,,1,1,-0.0005000000000023874,filled,ORD-15,Sell,SELL,Market,FILL,filled,0,100.15,100.1495,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-22T12:06:53.6636972Z,1755864413663,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,REQUEST,,,100.3,,1,,HARNESS,DESKTOP-584MV4B
ACK,2025-08-22T12:06:53.6640694Z,1755864413664,ORD-30,100.3,100.25,,,,1,,,,ORD-30,Buy,BUY,Market,ACK,,1,100.3,,1,,HARNESS,DESKTOP-584MV4B
FILL,2025-08-22T12:06:53.6642895Z,1755864413664,ORD-30,100.3,100.25,100.3005,,,1,1,0.0005000000000023874,filled,ORD-30,Buy,BUY,Market,FILL,filled,1,100.3,100.3005,1,1,HARNESS,DESKTOP-584MV4B
REQUEST,2025-08-22T12:06:53.7474913Z,1755864413747,ORD-45,100.45,,,,,1,,,,ORD-45,Sell,SELL,Market,REQUEST,,,100.45,,1,,HARNESS,DESKTOP-584MV4B
