alerts_synthetic_weekly.yml: BOM=True; Unicode=True; UnicodeInEcho=False
branch-protection-guard.yml: BOM=True; Unicode=True; UnicodeInEcho=False
ci.yml: BOM=True; Unicode=True; UnicodeInEcho=False
gate24h.yml: BOM=True; Unicode=True; UnicodeInEcho=False
gate24h_main.yml: BOM=True; Unicode=True; UnicodeInEcho=False
manual-diag.yml: BOM=True; Unicode=True; UnicodeInEcho=False
notify_on_failure.yml: BOM=True; Unicode=True; UnicodeInEcho=False
notify_on_failure_fixed.yml: BOM=True; Unicode=True; UnicodeInEcho=False
notify_on_failure_new.yml: BOM=True; Unicode=True; UnicodeInEcho=False
paper-pulse.yml: BOM=True; Unicode=True; UnicodeInEcho=False
selftest.yml: BOM=True; Unicode=True; UnicodeInEcho=False
selftest_new.yml: BOM=True; Unicode=True; UnicodeInEcho=False
shadow-status-shim.yml: BOM=False; Unicode=False; UnicodeInEcho=False
smoke-fast.yml: BOM=True; Unicode=True; UnicodeInEcho=False
smoke-on-pr.yml: BOM=True; Unicode=True; UnicodeInEcho=False
smoke-run.yml: BOM=True; Unicode=True; UnicodeInEcho=False
smoke.yml: BOM=True; Unicode=True; UnicodeInEcho=False
test-dispatch.yml: BOM=True; Unicode=True; UnicodeInEcho=False
watch_gate24h.yml: BOM=True; Unicode=True; UnicodeInEcho=False
