alerts_synthetic_weekly.yml: BOM=False; UnicodeEcho=False
branch-protection-guard.yml: BOM=False; UnicodeEcho=False
ci.yml: BOM=False; UnicodeEcho=False
gate24h.yml: BOM=False; UnicodeEcho=False
gate24h_main.yml: BOM=False; UnicodeEcho=False
manual-diag.yml: BOM=False; UnicodeEcho=False
notify_on_failure.yml: BOM=False; UnicodeEcho=False
notify_on_failure_fixed.yml: BOM=False; UnicodeEcho=False
notify_on_failure_new.yml: BOM=False; UnicodeEcho=False
paper-pulse.yml: BOM=False; UnicodeEcho=False
selftest.yml: BOM=False; UnicodeEcho=False
selftest_new.yml: BOM=False; UnicodeEcho=False
shadow-status-shim.yml: BOM=False; UnicodeEcho=False
smoke-fast.yml: BOM=False; UnicodeEcho=False
smoke-on-pr.yml: BOM=False; UnicodeEcho=False
smoke-run.yml: BOM=False; UnicodeEcho=False
smoke.yml: BOM=False; UnicodeEcho=False
test-dispatch.yml: BOM=False; UnicodeEcho=False
watch_gate24h.yml: BOM=False; UnicodeEcho=False
