trade_id,entry_order_id,exit_order_id,open_time_iso,close_time_iso,side,size,open_price,close_price,pnl_in_account_currency,fee,notes
R-1,ORD-0,ORD-15,2025-08-24T06:10:58.5800713Z,2025-08-24T06:10:58.8190329Z,BUY-SELL,1,100,100.15,0.15000000000000568,0,reconstructed
R-2,ORD-30,ORD-45,2025-08-24T06:10:59.0780217Z,2025-08-24T06:10:59.3305537Z,BUY-SELL,1,100.3,100.45,0.15000000000000568,0,reconstructed
R-3,ORD-60,ORD-75,2025-08-24T06:10:59.5756868Z,2025-08-24T06:10:59.8185853Z,BUY-SELL,1,100.6,100.75,0.15000000000000568,0,reconstructed
R-4,ORD-90,ORD-105,2025-08-24T06:11:00.0588052Z,2025-08-24T06:11:00.2913888Z,BUY-SELL,1,100.9,101.05,0.14999999999999147,0,reconstructed
R-5,ORD-120,ORD-135,2025-08-24T06:11:00.5400566Z,2025-08-24T06:11:00.7734880Z,BUY-SELL,1,101.2,101.35,0.14999999999999147,0,reconstructed
R-6,ORD-150,ORD-165,2025-08-24T06:11:01.0257662Z,2025-08-24T06:11:01.2593506Z,BUY-SELL,1,101.5,101.65,0.15000000000000568,0,reconstructed
R-7,ORD-180,ORD-195,2025-08-24T06:11:01.5073838Z,2025-08-24T06:11:01.7513331Z,BUY-SELL,1,101.8,101.95,0.15000000000000568,0,reconstructed
R-8,ORD-210,ORD-225,2025-08-24T06:11:02.0074123Z,2025-08-24T06:11:02.2487858Z,BUY-SELL,1,102.1,102.25,0.15000000000000568,0,reconstructed
R-9,ORD-240,ORD-255,2025-08-24T06:11:02.4925098Z,2025-08-24T06:11:02.7363068Z,BUY-SELL,1,102.4,102.55,0.14999999999999147,0,reconstructed
R-10,ORD-270,ORD-285,2025-08-24T06:11:02.9737505Z,2025-08-24T06:11:03.2182668Z,BUY-SELL,1,102.7,102.85,0.14999999999999147,0,reconstructed
R-11,ORD-300,ORD-315,2025-08-24T06:11:03.4580488Z,2025-08-24T06:11:03.6957549Z,BUY-SELL,1,103,103.15,0.15000000000000568,0,reconstructed
R-12,ORD-330,ORD-345,2025-08-24T06:11:03.9294284Z,2025-08-24T06:11:04.1655840Z,BUY-SELL,1,103.3,103.45,0.15000000000000568,0,reconstructed
R-13,ORD-360,ORD-375,2025-08-24T06:11:04.4242800Z,2025-08-24T06:11:04.6750836Z,BUY-SELL,1,103.6,103.75,0.15000000000000568,0,reconstructed
R-14,ORD-390,ORD-405,2025-08-24T06:11:04.9087674Z,2025-08-24T06:11:05.1603140Z,BUY-SELL,1,103.9,104.05,0.14999999999999147,0,reconstructed
R-15,ORD-420,ORD-465,2025-08-24T06:11:05.4217787Z,2025-08-24T06:11:06.1433561Z,BUY-SELL,1,104.2,104.65,0.45000000000000284,0,reconstructed
R-16,ORD-450,ORD-495,2025-08-24T06:11:05.9139183Z,2025-08-24T06:11:06.6352456Z,BUY-SELL,1,104.5,104.95,0.45000000000000284,0,reconstructed
R-17,ORD-480,ORD-525,2025-08-24T06:11:06.3915005Z,2025-08-24T06:11:07.1050169Z,BUY-SELL,1,104.8,105.25,0.45000000000000284,0,reconstructed
R-18,ORD-510,ORD-555,2025-08-24T06:11:06.8692413Z,2025-08-24T06:11:07.5860710Z,BUY-SELL,1,105.1,105.55,0.45000000000000284,0,reconstructed
R-19,ORD-540,ORD-585,2025-08-24T06:11:07.3503662Z,2025-08-24T06:11:08.0569701Z,BUY-SELL,1,105.4,105.85,0.44999999999998863,0,reconstructed
R-20,ORD-570,ORD-615,2025-08-24T06:11:07.8248612Z,2025-08-24T06:11:08.5455215Z,BUY-SELL,1,105.7,106.15,0.45000000000000284,0,reconstructed
R-21,ORD-600,ORD-645,2025-08-24T06:11:08.2973563Z,2025-08-24T06:11:09.0166770Z,BUY-SELL,1,106,106.45,0.45000000000000284,0,reconstructed
