timestamp_iso,ticksPerSec,signalsLastMinute,ordersRequestedLastMinute,ordersFilledLastMinute,errorsLastMinute
2025-08-22T14:07:29.0618068Z,2.1333333333333333,13,9,9,4
2025-08-22T14:07:31.0576668Z,2.1166666666666667,13,8,8,3
2025-08-22T14:07:33.0587841Z,2.1333333333333333,13,9,9,4
2025-08-22T14:07:35.0682705Z,2.1,12,8,8,3
2025-08-22T14:07:37.0786206Z,2.1333333333333333,13,9,9,4
2025-08-22T14:07:39.0654284Z,2.1333333333333333,13,8,8,3
2025-08-22T14:07:41.0634495Z,2.1166666666666667,13,9,9,4
2025-08-22T14:07:43.0578307Z,2.1,12,8,8,3
2025-08-22T14:07:45.0551601Z,2.1166666666666667,13,9,9,3
2025-08-22T14:07:47.0642320Z,2.1166666666666667,13,8,8,4
2025-08-22T14:07:49.0583295Z,2.1,12,9,9,3
2025-08-22T14:07:51.0609500Z,2.1,13,8,8,4
2025-08-22T14:07:53.0629740Z,2.1333333333333333,13,9,9,3
2025-08-22T14:07:55.0648213Z,2.1,12,8,8,4
