timestamp_utc,equity,balance,open_pnl,closed_pnl,margin,free_margin,drawdown,R_used,exposure
2025-10-09T14:08:29.6091042Z,10000,10000,0,0,0,10000,0,0,0
2025-10-09T14:09:29.6166971Z,10000,10000,0,18.625,0,10000,0,0,0
2025-10-09T14:10:29.6123948Z,10000,10000,0,37.101,0,10000,0,0,0
2025-10-09T14:11:29.6208763Z,10020,10000,20,55.577,100,9900,0,0.05,500
2025-10-09T14:12:29.6176244Z,10010,10000,10,74.053,100,9900,0,0.05,500
2025-10-09T14:13:29.6182765Z,10000,10000,0,92.529,0,10000,0,0,0
2025-10-09T14:14:29.6143248Z,10015,10000,15,111.005,150,9850,0,0.07,750
2025-10-09T14:15:29.6207089Z,10005,10000,5,129.481,150,9850,0,0.07,750
2025-10-09T14:16:29.6167543Z,10000,10000,0,147.957,0,10000,0,0,0
2025-10-09T14:17:29.6118651Z,10030,10000,30,166.433,200,9800,0,0.1,1000
2025-10-09T14:18:29.6185432Z,10020,10000,20,184.909,200,9800,0,0.1,1000
2025-10-09T14:19:29.6127654Z,10010,10000,10,203.385,200,9800,0,0.1,1000
2025-10-09T14:20:29.6193287Z,10000,10000,0,221.861,0,10000,0,0,0
2025-10-09T14:21:29.6118841Z,10025,10000,25,240.337,180,9820,0,0.09,900
2025-10-09T14:22:29.6100170Z,10015,10000,15,258.813,180,9820,0,0.09,900
2025-10-09T14:23:29.6219228Z,10005,10000,5,277.289,180,9820,0,0.09,900
2025-10-09T14:24:29.6308723Z,10000,10000,0,295.765,0,10000,0,0,0
2025-10-09T14:25:34.6542797Z,10040,10000,40,314.241,250,9750,0,0.12,1250
